from_taxonomy,from_code,to_taxonomy,to_code,weight
isco4,0110,isco2,01,1.0
isco4,0210,isco2,02,0.5
isco4,0211,isco2,02,0.5
isco4,0310,isco2,03,0.5
isco4,0315,isco2,03,0.5
isco4,1111,isco2,11,0.2
isco4,1112,isco2,11,0.2
isco4,1113,isco2,11,0.2
isco4,1114,isco2,11,0.2
isco4,1120,isco2,11,0.2
isco4,1211,isco2,12,0.14285714285714285
isco4,1212,isco2,12,0.14285714285714285
isco4,1213,isco2,12,0.14285714285714285
isco4,1219,isco2,12,0.14285714285714285
isco4,1221,isco2,12,0.14285714285714285
isco4,1222,isco2,12,0.14285714285714285
isco4,1223,isco2,12,0.14285714285714285
isco4,1311,isco2,13,0.07142857142857142
isco4,1312,isco2,13,0.07142857142857142
isco4,1321,isco2,13,0.07142857142857142
isco4,1322,isco2,13,0.07142857142857142
isco4,1323,isco2,13,0.07142857142857142
isco4,1324,isco2,13,0.07142857142857142
isco4,1330,isco2,13,0.07142857142857142
isco4,1341,isco2,13,0.07142857142857142
isco4,1342,isco2,13,0.07142857142857142
isco4,1343,isco2,13,0.07142857142857142
isco4,1344,isco2,13,0.07142857142857142
isco4,1345,isco2,13,0.07142857142857142
isco4,1346,isco2,13,0.07142857142857142
isco4,1349,isco2,13,0.07142857142857142
isco4,1411,isco2,14,0.2
isco4,1412,isco2,14,0.2
isco4,1420,isco2,14,0.2
isco4,1431,isco2,14,0.2
isco4,1439,isco2,14,0.2
isco4,2111,isco2,21,0.041666666666666664
isco4,2112,isco2,21,0.041666666666666664
isco4,2113,isco2,21,0.041666666666666664
isco4,2114,isco2,21,0.041666666666666664
isco4,2120,isco2,21,0.041666666666666664
isco4,2131,isco2,21,0.041666666666666664
isco4,2132,isco2,21,0.041666666666666664
isco4,2133,isco2,21,0.041666666666666664
isco4,2141,isco2,21,0.041666666666666664
isco4,2142,isco2,21,0.041666666666666664
isco4,2143,isco2,21,0.041666666666666664
isco4,2144,isco2,21,0.041666666666666664
isco4,2145,isco2,21,0.041666666666666664
isco4,2146,isco2,21,0.041666666666666664
isco4,2149,isco2,21,0.041666666666666664
isco4,2151,isco2,21,0.041666666666666664
isco4,2152,isco2,21,0.041666666666666664
isco4,2153,isco2,21,0.041666666666666664
isco4,2161,isco2,21,0.041666666666666664
isco4,2162,isco2,21,0.041666666666666664
isco4,2163,isco2,21,0.041666666666666664
isco4,2164,isco2,21,0.041666666666666664
isco4,2165,isco2,21,0.041666666666666664
isco4,2166,isco2,21,0.041666666666666664
isco4,2211,isco2,22,0.06666666666666667
isco4,2212,isco2,22,0.06666666666666667
isco4,2221,isco2,22,0.06666666666666667
isco4,2222,isco2,22,0.06666666666666667
isco4,2230,isco2,22,0.06666666666666667
isco4,2240,isco2,22,0.06666666666666667
isco4,2250,isco2,22,0.06666666666666667
isco4,2261,isco2,22,0.06666666666666667
isco4,2262,isco2,22,0.06666666666666667
isco4,2263,isco2,22,0.06666666666666667
isco4,2264,isco2,22,0.06666666666666667
isco4,2265,isco2,22,0.06666666666666667
isco4,2266,isco2,22,0.06666666666666667
isco4,2267,isco2,22,0.06666666666666667
isco4,2269,isco2,22,0.06666666666666667
isco4,2310,isco2,23,0.08333333333333333
isco4,2320,isco2,23,0.08333333333333333
isco4,2330,isco2,23,0.08333333333333333
isco4,2341,isco2,23,0.08333333333333333
isco4,2342,isco2,23,0.08333333333333333
isco4,2351,isco2,23,0.08333333333333333
isco4,2352,isco2,23,0.08333333333333333
isco4,2353,isco2,23,0.08333333333333333
isco4,2354,isco2,23,0.08333333333333333
isco4,2355,isco2,23,0.08333333333333333
isco4,2356,isco2,23,0.08333333333333333
isco4,2359,isco2,23,0.08333333333333333
isco4,2411,isco2,24,0.09090909090909091
isco4,2412,isco2,24,0.09090909090909091
isco4,2413,isco2,24,0.09090909090909091
isco4,2421,isco2,24,0.09090909090909091
isco4,2422,isco2,24,0.09090909090909091
isco4,2423,isco2,24,0.09090909090909091
isco4,2424,isco2,24,0.09090909090909091
isco4,2431,isco2,24,0.09090909090909091
isco4,2432,isco2,24,0.09090909090909091
isco4,2433,isco2,24,0.09090909090909091
isco4,2434,isco2,24,0.09090909090909091
isco4,2511,isco2,25,0.1111111111111111
isco4,2512,isco2,25,0.1111111111111111
isco4,2513,isco2,25,0.1111111111111111
isco4,2514,isco2,25,0.1111111111111111
isco4,2519,isco2,25,0.1111111111111111
isco4,2521,isco2,25,0.1111111111111111
isco4,2522,isco2,25,0.1111111111111111
isco4,2523,isco2,25,0.1111111111111111
isco4,2529,isco2,25,0.1111111111111111
isco4,2611,isco2,26,0.047619047619047616
isco4,2612,isco2,26,0.047619047619047616
isco4,2619,isco2,26,0.047619047619047616
isco4,2621,isco2,26,0.047619047619047616
isco4,2622,isco2,26,0.047619047619047616
isco4,2631,isco2,26,0.047619047619047616
isco4,2632,isco2,26,0.047619047619047616
isco4,2633,isco2,26,0.047619047619047616
isco4,2634,isco2,26,0.047619047619047616
isco4,2635,isco2,26,0.047619047619047616
isco4,2636,isco2,26,0.047619047619047616
isco4,2641,isco2,26,0.047619047619047616
isco4,2642,isco2,26,0.047619047619047616
isco4,2643,isco2,26,0.047619047619047616
isco4,2651,isco2,26,0.047619047619047616
isco4,2652,isco2,26,0.047619047619047616
isco4,2653,isco2,26,0.047619047619047616
isco4,2654,isco2,26,0.047619047619047616
isco4,2655,isco2,26,0.047619047619047616
isco4,2656,isco2,26,0.047619047619047616
isco4,2659,isco2,26,0.047619047619047616
isco4,3111,isco2,31,0.038461538461538464
isco4,3112,isco2,31,0.038461538461538464
isco4,3113,isco2,31,0.038461538461538464
isco4,3114,isco2,31,0.038461538461538464
isco4,3115,isco2,31,0.038461538461538464
isco4,3116,isco2,31,0.038461538461538464
isco4,3117,isco2,31,0.038461538461538464
isco4,3118,isco2,31,0.038461538461538464
isco4,3119,isco2,31,0.038461538461538464
isco4,3121,isco2,31,0.038461538461538464
isco4,3122,isco2,31,0.038461538461538464
isco4,3123,isco2,31,0.038461538461538464
isco4,3131,isco2,31,0.038461538461538464
isco4,3132,isco2,31,0.038461538461538464
isco4,3133,isco2,31,0.038461538461538464
isco4,3134,isco2,31,0.038461538461538464
isco4,3135,isco2,31,0.038461538461538464
isco4,3139,isco2,31,0.038461538461538464
isco4,3141,isco2,31,0.038461538461538464
isco4,3142,isco2,31,0.038461538461538464
isco4,3143,isco2,31,0.038461538461538464
isco4,3151,isco2,31,0.038461538461538464
isco4,3152,isco2,31,0.038461538461538464
isco4,3153,isco2,31,0.038461538461538464
isco4,3154,isco2,31,0.038461538461538464
isco4,3155,isco2,31,0.038461538461538464
