from_taxonomy,from_code,to_taxonomy,to_code,weight,vertical_label,note
isco4,1111,vertical,V13_management_exec,1.0,Juhtimine,Legislators
isco4,1112,vertical,V13_management_exec,1.0,Juhtimine,Senior government officials
isco4,1114,vertical,V13_management_exec,1.0,Juhtimine,Senior officials of special-interest organizations
isco4,1120,vertical,V13_management_exec,1.0,Juhtimine,Managing directors and chief executives
isco4,1211,vertical,V02_finance_accounting,1.0,Rahandus ja raamatupidamine,Finance managers
isco4,1212,vertical,V11_hr,1.0,Personal ja organisatsioon,Human resource managers
isco4,1213,vertical,V13_management_exec,1.0,Juhtimine,Policy and planning managers
isco4,1219,vertical,V13_management_exec,1.0,Juhtimine,Business services and administration managers not elsewhere classified
isco4,1221,vertical,V05_sales_retail,1.0,Müük ja jaekaubandus,Sales and marketing managers
isco4,1222,vertical,V06_marketing_advertising,1.0,Turundus ja reklaam,Advertising and public relations managers
isco4,1223,vertical,V13_management_exec,1.0,Juhtimine,Research and development managers
isco4,1311,vertical,V13_management_exec,1.0,Juhtimine,Agricultural and forestry production managers
isco4,1312,vertical,V13_management_exec,1.0,Juhtimine,Aquaculture and fisheries production managers
isco4,1321,vertical,V13_management_exec,1.0,Juhtimine,Manufacturing managers
isco4,1322,vertical,V13_management_exec,1.0,Juhtimine,Mining managers
isco4,1323,vertical,V13_management_exec,1.0,Juhtimine,Construction managers
isco4,1324,vertical,V13_management_exec,1.0,Juhtimine,"Supply, distribution and related managers"
isco4,1330,vertical,V07_it_software,1.0,IT ja tarkvaraarendus,Information and communications technology service managers
isco4,1341,vertical,V13_management_exec,1.0,Juhtimine,Child care services managers
isco4,1342,vertical,V13_management_exec,1.0,Juhtimine,Health services managers
isco4,1343,vertical,V13_management_exec,1.0,Juhtimine,Aged care services managers
isco4,1344,vertical,V13_management_exec,1.0,Juhtimine,Social welfare managers
isco4,1345,vertical,V13_management_exec,1.0,Juhtimine,Education managers
isco4,1346,vertical,V03_banking_insurance,1.0,Pangandus ja kindlustus,Financial and insurance services branch managers
isco4,1349,vertical,V12_legal,1.0,Õigus,Professional services managers not elsewhere classified
isco4,1411,vertical,V13_management_exec,1.0,Juhtimine,Hotel managers
isco4,1412,vertical,V13_management_exec,1.0,Juhtimine,Restaurant managers
isco4,1420,vertical,V13_management_exec,1.0,Juhtimine,Retail and wholesale trade managers
isco4,1431,vertical,V13_management_exec,1.0,Juhtimine,"Sports, recreation and cultural centre managers"
isco4,1439,vertical,V13_management_exec,1.0,Juhtimine,Services managers not elsewhere classified
isco4,2111,vertical,V17_research_science,1.0,Teadus ja tehnilised tippspetsialistid,Physicists and astronomers
isco4,2112,vertical,V17_research_science,1.0,Teadus ja tehnilised tippspetsialistid,Meteorologists
isco4,2113,vertical,V17_research_science,1.0,Teadus ja tehnilised tippspetsialistid,Chemists
isco4,2114,vertical,V17_research_science,1.0,Teadus ja tehnilised tippspetsialistid,Geologists and geophysicists
isco4,2120,vertical,V09_data_analytics,1.0,Andmed ja analüütika,"Mathematicians, actuaries and statisticians"
isco4,2131,vertical,V17_research_science,1.0,Teadus ja tehnilised tippspetsialistid,"Biologists, botanists, zoologists and related professionals"
isco4,2132,vertical,V17_research_science,1.0,Teadus ja tehnilised tippspetsialistid,"Farming, forestry and fisheries advisers"
isco4,2133,vertical,V17_research_science,1.0,Teadus ja tehnilised tippspetsialistid,Environmental protection professionals
isco4,2141,vertical,V17_research_science,1.0,Teadus ja tehnilised tippspetsialistid,Industrial and production engineers
isco4,2142,vertical,V17_research_science,1.0,Teadus ja tehnilised tippspetsialistid,Civil engineers
isco4,2143,vertical,V17_research_science,1.0,Teadus ja tehnilised tippspetsialistid,Environmental engineers
isco4,2144,vertical,V17_research_science,1.0,Teadus ja tehnilised tippspetsialistid,Mechanical engineers
isco4,2145,vertical,V17_research_science,1.0,Teadus ja tehnilised tippspetsialistid,Chemical engineers
isco4,2146,vertical,V17_research_science,1.0,Teadus ja tehnilised tippspetsialistid,"Mining engineers, metallurgists and related professionals"
isco4,2149,vertical,V17_research_science,1.0,Teadus ja tehnilised tippspetsialistid,Engineering professionals not elsewhere classified
isco4,2151,vertical,V17_research_science,1.0,Teadus ja tehnilised tippspetsialistid,Electrical engineers
isco4,2152,vertical,V17_research_science,1.0,Teadus ja tehnilised tippspetsialistid,Electronics engineers
isco4,2153,vertical,V17_research_science,1.0,Teadus ja tehnilised tippspetsialistid,Telecommunications engineers
isco4,2161,vertical,V17_research_science,1.0,Teadus ja tehnilised tippspetsialistid,Building architects
isco4,2162,vertical,V17_research_science,1.0,Teadus ja tehnilised tippspetsialistid,Landscape architects
isco4,2163,vertical,V17_research_science,1.0,Teadus ja tehnilised tippspetsialistid,Product and garment designers
isco4,2164,vertical,V17_research_science,1.0,Teadus ja tehnilised tippspetsialistid,Town and traffic planners
isco4,2165,vertical,V17_research_science,1.0,Teadus ja tehnilised tippspetsialistid,Cartographers and surveyors
isco4,2166,vertical,V17_research_science,1.0,Teadus ja tehnilised tippspetsialistid,Graphic and multimedia designers
isco4,2211,vertical,V20_healthcare,1.0,Tervishoid,Generalist medical practitioners 
isco4,2212,vertical,V20_healthcare,1.0,Tervishoid,Specialist medical practitioners 
isco4,2221,vertical,V20_healthcare,1.0,Tervishoid,Nursing professionals
isco4,2222,vertical,V20_healthcare,1.0,Tervishoid,Midwifery professionals
isco4,2230,vertical,V20_healthcare,1.0,Tervishoid,Traditional and complementary medicine professionals
isco4,2240,vertical,V20_healthcare,1.0,Tervishoid,Paramedical practitioners
isco4,2250,vertical,V20_healthcare,1.0,Tervishoid,Veterinarians
isco4,2261,vertical,V20_healthcare,1.0,Tervishoid,Dentists
isco4,2262,vertical,V20_healthcare,1.0,Tervishoid,Pharmacists
isco4,2263,vertical,V20_healthcare,1.0,Tervishoid,Environmental and occupational health and hygiene professionals
isco4,2264,vertical,V20_healthcare,1.0,Tervishoid,Physiotherapists 
isco4,2265,vertical,V20_healthcare,1.0,Tervishoid,Dieticians and nutritionists
isco4,2266,vertical,V20_healthcare,1.0,Tervishoid,Audiologists and speech therapists
isco4,2267,vertical,V20_healthcare,1.0,Tervishoid,Optometrists and ophthalmic opticians
isco4,2269,vertical,V20_healthcare,1.0,Tervishoid,Health professionals not elsewhere classified
isco4,2310,vertical,V21_education,1.0,Haridus,University and higher education teachers
isco4,2320,vertical,V21_education,1.0,Haridus,Vocational education teachers
isco4,2330,vertical,V21_education,1.0,Haridus,Secondary education teachers
