model,scenario,taxonomy,location_code,location_name,code,code_label,employed,exposure,augmentation_share,automation_share,opportunity,risk,score_source,weight_source,crosswalk
demirev_ai_products,2025q4_palgad_isco4,isco4,all,Kogu Eesti,1111,Seadusandjad,114,0.2263,0.7612,0.2388,0.17225956,0.05404044,derived,palgad_stat_ee_2025q4,direct
demirev_ai_products,2025q4_palgad_isco4,isco4,all,Kogu Eesti,1112,Kõrgemad valitsusametnikud,722,0.1627,0.4751,0.5249,0.07729877,0.08540123000000001,derived,palgad_stat_ee_2025q4,direct
demirev_ai_products,2025q4_palgad_isco4,isco4,all,Kogu Eesti,1114,Ühiskondlike ja huviorganisatsioonide juhid,160,0.2193,0.5389,0.4611,0.11818077,0.10111923,derived,palgad_stat_ee_2025q4,direct
demirev_ai_products,2025q4_palgad_isco4,isco4,all,Kogu Eesti,1120,Suurettevõtete tegevdirektorid ja tippjuhid,1386,0.2017,0.5874,0.4126,0.11847858,0.08322142,derived,palgad_stat_ee_2025q4,direct
demirev_ai_products,2025q4_palgad_isco4,isco4,all,Kogu Eesti,1211,Finantsjuhid,1361,0.3795,0.6491,0.3509,0.24633345,0.13316655,derived,palgad_stat_ee_2025q4,direct
demirev_ai_products,2025q4_palgad_isco4,isco4,all,Kogu Eesti,1212,Personalijuhid,1252,0.1791,0.5708,0.4292,0.10223028,0.07686972,derived,palgad_stat_ee_2025q4,direct
demirev_ai_products,2025q4_palgad_isco4,isco4,all,Kogu Eesti,1213,Poliitika- ja strateegiajuhid,696,0.3074,0.5135,0.4865,0.1578499,0.1495501,derived,palgad_stat_ee_2025q4,direct
demirev_ai_products,2025q4_palgad_isco4,isco4,all,Kogu Eesti,1219,"Äriteenindus- ja haldusjuhid, mujal liigitamata",6349,0.1788,0.6732,0.3268,0.12036815999999999,0.05843183999999999,derived,palgad_stat_ee_2025q4,direct
demirev_ai_products,2025q4_palgad_isco4,isco4,all,Kogu Eesti,1221,Müügi- ja turundusjuhid,5137,0.5125,0.4831,0.5169,0.24758874999999997,0.26491125,derived,palgad_stat_ee_2025q4,direct
demirev_ai_products,2025q4_palgad_isco4,isco4,all,Kogu Eesti,1222,Reklaami- ja suhtekorraldusjuhid,334,0.2478,0.658,0.342,0.16305240000000001,0.0847476,derived,palgad_stat_ee_2025q4,direct
demirev_ai_products,2025q4_palgad_isco4,isco4,all,Kogu Eesti,1223,Teadus- ja arendusjuhid,1629,0.3615,0.4594,0.5406,0.16607309999999997,0.1954269,derived,palgad_stat_ee_2025q4,direct
demirev_ai_products,2025q4_palgad_isco4,isco4,all,Kogu Eesti,1311,Põllumajandus- ja metsandusjuhid,824,0.0,0.0,0.0,0.0,0.0,derived,palgad_stat_ee_2025q4,direct
demirev_ai_products,2025q4_palgad_isco4,isco4,all,Kogu Eesti,1312,Vesiviljeluse ja kalandusjuhid,37,0.051,0.7138,0.2862,0.0364038,0.0145962,derived,palgad_stat_ee_2025q4,direct
demirev_ai_products,2025q4_palgad_isco4,isco4,all,Kogu Eesti,1321,Töötleva tööstuse juhid,3683,0.2394,0.5071,0.4929,0.12139974,0.11800026,derived,palgad_stat_ee_2025q4,direct
demirev_ai_products,2025q4_palgad_isco4,isco4,all,Kogu Eesti,1322,Mäetööstuse juhid,89,0.254,0.4254,0.5746,0.1080516,0.1459484,derived,palgad_stat_ee_2025q4,direct
demirev_ai_products,2025q4_palgad_isco4,isco4,all,Kogu Eesti,1323,Ehitusjuhid,4917,0.2005,0.6436,0.3564,0.12904179999999998,0.0714582,derived,palgad_stat_ee_2025q4,direct
demirev_ai_products,2025q4_palgad_isco4,isco4,all,Kogu Eesti,1324,"Tarne-, turustus- jms juhid",2453,0.2129,0.4965,0.5035,0.10570485,0.10719514999999999,derived,palgad_stat_ee_2025q4,direct
demirev_ai_products,2025q4_palgad_isco4,isco4,all,Kogu Eesti,1330,IKT-juhid,2240,0.2812,0.5971,0.4029,0.16790452,0.11329547999999999,derived,palgad_stat_ee_2025q4,direct
