priority_rank,vertical_id,vertical_label,vertical_ensemble_z,vertical_employment_national,tier_label_dominant,Kogu Eesti (15 mk),Harju maakond,Tartu maakond,Ida-Viru maakond,Pärnu maakond,Lääne-Viru maakond,Viljandi maakond,Rapla maakond,Võru maakond,Järva maakond,Saare maakond,Jõgeva maakond,Valga maakond,Põlva maakond,Lääne maakond,Hiiu maakond
1,V04_customer_service,Klienditugi ja kontaktikeskus,1.5581278360305515,18722,Contested High,18722,13416,1907,739,714,275,251,157,195,167,214,133,128,141,166,118
2,V03_banking_insurance,Pangandus ja kindlustus,1.2867688566331115,12473,Contested High,12473,9132,1533,218,466,188,241,88,90,112,96,69,69,56,74,41
3,V09_data_analytics,Andmed ja analüütika,1.1994165841179378,2453,Contested High,2453,1885,398,12,29,12,12,12,12,12,12,12,12,12,12,12
4,V06_marketing_advertising,Turundus ja reklaam,1.063870523195888,5488,Mixed,5488,4457,457,116,69,49,33,45,33,33,33,33,33,33,33,33
5,V01_data_clerical,Andmesisestus ja kontoritöötlus,0.9299951624402812,22841,Contested High,22841,14864,2682,1119,1044,637,474,323,315,337,294,149,183,132,156,132
6,V16_logistics_supply_admin,Logistika ja tarneahela kontoritöö,0.8755829579081504,2186,Mixed,2186,1413,246,134,84,37,56,24,24,24,24,24,24,24,24,24
7,V10_admin_secretarial,Haldus ja sekretäritöö,0.8425031992209523,21256,Contested High,21327,13956,2693,845,813,479,391,266,327,264,312,231,220,183,181,166
8,V02_finance_accounting,Rahandus ja raamatupidamine,0.7645954719302349,16265,Contested High,16265,11130,1647,764,591,392,290,201,196,188,240,89,123,169,135,109
9,V11_hr,Personal ja organisatsioon,0.6956604311031247,4067,Contested High,4067,3012,409,147,99,54,51,33,33,33,33,33,33,33,33,33
10,V07_it_software,IT ja tarkvaraarendus,0.6444724291489657,19614,Contested High,19614,15876,2990,136,92,66,73,42,42,42,42,42,42,42,42,42
11,V21_education,Haridus,0.5191423390376819,37516,Contested High,36556,16741,6639,2635,1710,1534,1074,980,656,811,887,592,700,560,681,356
12,V08_it_infra_telecom,IT-taristu ja telekom,0.46874723434024207,10917,Contested High,10917,7881,1397,437,251,131,116,94,76,76,76,76,76,76,76,76
13,V12_legal,Õigus,0.37881214000802294,5770,Mixed,5770,4011,858,179,133,74,69,47,47,47,69,47,47,47,47,47
14,V05_sales_retail,Müük ja jaekaubandus,0.3594456873378824,49162,Contested High,49162,28008,6182,3022,2990,1791,1348,721,853,699,959,634,594,488,583,291
15,V13_management_exec,Juhtimine,0.270000236332669,34892,Mixed,34805,20343,4167,1846,1776,1205,787,682,629,551,640,497,492,429,441,318
16,V19_social_cultural,Sotsiaal- ja kultuuritöö,0.1844688898234382,13683,Mixed,13565,5847,2148,1081,783,585,607,273,386,299,282,256,381,284,190,164
17,V17_research_science,Teadus ja tehnilised tippspetsialistid,0.09263281850010066,31433,Mixed,31257,18200,4926,1909,1089,629,667,449,454,420,491,479,386,388,400,369
18,V14_translation_media,"Tõlge, keel ja meedia",0.037334984481245614,7849,Mixed,7849,5285,971,153,229,134,133,100,117,100,124,100,100,100,100,100
19,V20_healthcare,Tervishoid,-0.008042830754325185,29163,Mixed,29057,14348,5712,1934,1358,670,847,442,600,439,575,457,496,497,360,322
20,V18_other_clerical,Muu kontoritöö,-0.01226093196225533,2502,Mixed,2502,1570,231,105,125,45,77,35,58,35,47,35,35,35,35,35
21,V22_service_personal,Isiku- ja teenindustöö,-0.11855645783160883,46494,Mixed,44927,23952,6046,3345,2300,1724,1469,547,1089,538,890,638,501,643,819,425
22,V24_operators_elementary,Operaatorid ja lihttöö,-0.6638258271875987,114324,Mixed,113352,53202,13345,9741,7559,5245,3675,2757,3247,3044,2353,2287,1826,2008,1897,1165
23,V23_agri_trades,Põllumajandus ja oskustöö,-0.6671681699843546,74029,Mixed,68908,29992,8183,4327,4721,2795,3428,1982,2072,1763,1966,1790,2075,1671,1153,990
