model,taxonomy,code,metric,value,source,notes
ilo_wp140,isco4,0110,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,0110,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,0110,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,0210,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,0210,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,0210,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,0310,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,0310,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,0310,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,1111,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,1111,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,1111,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,1112,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,1112,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,1112,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,1113,exposure,0.66,derived,WP140 class: Augmentation Potential
ilo_wp140,isco4,1113,augmentation_share,1.0,derived,WP140 class: Augmentation Potential
ilo_wp140,isco4,1113,automation_share,0.0,derived,WP140 class: Augmentation Potential
ilo_wp140,isco4,1114,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,1114,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,1114,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,1120,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,1120,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,1120,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,1211,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,1211,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,1211,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,1212,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,1212,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,1212,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,1213,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,1213,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,1213,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,1219,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,1219,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,1219,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,1221,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,1221,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,1221,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,1222,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,1222,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,1222,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,1223,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,1223,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,1223,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,1311,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,1311,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,1311,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,1312,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,1312,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,1312,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,1321,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,1321,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,1321,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,1322,exposure,0.66,derived,WP140 class: Augmentation Potential
ilo_wp140,isco4,1322,augmentation_share,1.0,derived,WP140 class: Augmentation Potential
ilo_wp140,isco4,1322,automation_share,0.0,derived,WP140 class: Augmentation Potential
ilo_wp140,isco4,1323,exposure,0.33,derived,WP140 class: The Big Unknown
ilo_wp140,isco4,1323,augmentation_share,0.5,derived,WP140 class: The Big Unknown
ilo_wp140,isco4,1323,automation_share,0.5,derived,WP140 class: The Big Unknown
ilo_wp140,isco4,1324,exposure,0.66,derived,WP140 class: Augmentation Potential
ilo_wp140,isco4,1324,augmentation_share,1.0,derived,WP140 class: Augmentation Potential
ilo_wp140,isco4,1324,automation_share,0.0,derived,WP140 class: Augmentation Potential
ilo_wp140,isco4,1330,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,1330,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,1330,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,1341,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,1341,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,1341,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,1342,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,1342,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,1342,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,1343,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,1343,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,1343,automation_share,0.0,derived,WP140 class: Not Affected
