model,scenario,location_name,total_employed,exposure_avg,opportunity_avg,risk_avg,exposure_weighted,opportunity_weighted,risk_weighted
demirev_ai_products,2021_census,HARJU MAAKOND,312344,0.21830428676533753,0.09007598721340673,0.1132347892051269,68186.03414543258,28134.694150184314,35368.20699948616
demirev_ai_products,2021_census,TARTU MAAKOND,77226,0.20044966756162735,0.07994617087889368,0.10436290767813897,15479.926027114234,6173.922992293443,8059.52990835196
demirev_ai_products,2021_census,IDA-VIRU MAAKOND,55456,0.18438592968854656,0.0692789338406885,0.09651292222788083,10225.306116808038,3841.9325550692215,5352.220615069359
demirev_ai_products,2021_census,PÄRNU MAAKOND,39368,0.18315018549452394,0.07056773906102158,0.09578469032814735,7210.256502548419,2778.1107513542975,3770.8516888385047
demirev_ai_products,2021_census,LÄÄNE-VIRU MAAKOND,26706,0.17815119054771736,0.0681344092259409,0.092747343195199,4757.70569476734,1819.5975327879776,2476.9105473709847
demirev_ai_products,2021_census,VILJANDI MAAKOND,20644,0.17474805442092897,0.06771843826450952,0.0904314761893304,3607.498835465658,1397.9794395325343,1866.8673944525367
demirev_ai_products,2021_census,RAPLA MAAKOND,16019,0.1821302483402405,0.07193272824879234,0.09390535760061028,2917.5444481623126,1152.2903738174043,1504.269923404176
demirev_ai_products,2021_census,VÕRU MAAKOND,15141,0.17425220962961044,0.06677936397368645,0.09008871210235525,2638.3527060019314,1011.1063499255865,1364.0331899417608
demirev_ai_products,2021_census,SAARE MAAKOND,14813,0.1788853994763897,0.06952267470973592,0.09300872601427254,2649.829422443761,1029.8393804753182,1377.7382584494192
demirev_ai_products,2021_census,JÄRVA MAAKOND,13455,0.17320690535303207,0.06708502088687754,0.08964916113736346,2330.4989115250464,902.6289560329373,1206.2294631032253
demirev_ai_products,2021_census,JÕGEVA MAAKOND,12168,0.17062062577114218,0.06522355860570099,0.08850095625309745,2076.111774383258,793.6402611141697,1076.8796356876899
demirev_ai_products,2021_census,VALGA MAAKOND,11745,0.17297355310379145,0.06561217482533264,0.09022345675598656,2031.5743812040307,770.6149933235318,1059.674499599062
demirev_ai_products,2021_census,PÕLVA MAAKOND,10638,0.17024493544028121,0.0649215864239424,0.08814111349483274,1811.0656232137114,690.6358363778992,937.6451653580307
demirev_ai_products,2021_census,LÄÄNE MAAKOND,9371,0.18599413084436087,0.07140736818618568,0.09790698049097231,1742.9510001425058,669.158447272746,917.4863141809014
demirev_ai_products,2021_census,HIIU MAAKOND,4185,0.18405041934831,0.07170750397489217,0.09641830117788895,770.2510049726774,300.0959041349237,403.51059042946525
