model,scenario,location_name,total_employed,exposure_avg,opportunity_avg,risk_avg,exposure_weighted,opportunity_weighted,risk_weighted
felten_aei,2021_census,HARJU MAAKOND,312346,0.6116421439685477,0.09660719030181274,0.515034953666735,191043.9771,30174.86946201,160869.10763799
felten_aei,2021_census,TARTU MAAKOND,77229,0.5778646208030662,0.0988152591623613,0.4790493616407049,44627.9068,7631.40364985,36996.50315015
felten_aei,2021_census,IDA-VIRU MAAKOND,55459,0.468904608810112,0.077700143272147,0.391204465537965,26004.9807,4309.17224573,21695.80845427
felten_aei,2021_census,PÄRNU MAAKOND,39370,0.49639879603759207,0.07860108992532384,0.41779770611226824,19543.2206,3094.52491036,16448.69568964
felten_aei,2021_census,LÄÄNE-VIRU MAAKOND,26707,0.477679065413562,0.07691963923428313,0.40075942617927884,12757.3748,2054.2928050299997,10703.08199497
felten_aei,2021_census,VILJANDI MAAKOND,20644,0.47769217205967834,0.07869134747287347,0.3990008245868049,9861.4772,1624.5041772299999,8236.97302277
felten_aei,2021_census,RAPLA MAAKOND,16020,0.49568563670411986,0.07905482567353309,0.4166308110305868,7940.8839,1266.45830729,6674.42559271
felten_aei,2021_census,VÕRU MAAKOND,15141,0.4736017370054818,0.0783693449547586,0.39523239205072325,7170.8039,1186.59025196,5984.21364804
felten_aei,2021_census,SAARE MAAKOND,14813,0.49427162627421856,0.0805967986545602,0.41367482761965835,7321.6456,1193.88037847,6127.7652215299995
felten_aei,2021_census,JÄRVA MAAKOND,13455,0.47335548123374205,0.07653074823857302,0.39682473299516907,6368.998,1029.72121755,5339.27678245
felten_aei,2021_census,JÕGEVA MAAKOND,12168,0.466559607166338,0.07694890859796187,0.38961069856837605,5677.0973,936.31431982,4740.78298018
felten_aei,2021_census,VALGA MAAKOND,11746,0.4630490209432998,0.07510630696066746,0.3879427139826324,5438.9738,882.19868156,4556.77511844
felten_aei,2021_census,PÕLVA MAAKOND,10638,0.46677101898853174,0.07647694248824967,0.39029407650028203,4965.5101,813.56171419,4151.94838581
felten_aei,2021_census,LÄÄNE MAAKOND,9371,0.49899059865542633,0.08193320827979939,0.41705739037562695,4676.0409,767.79609479,3908.24480521
felten_aei,2021_census,HIIU MAAKOND,4185,0.5087333572281959,0.08231671395459976,0.42641664327359613,2129.0490999999997,344.4954479,1784.5536521
