model,scenario,location_name,total_employed,exposure_avg,opportunity_avg,risk_avg,exposure_weighted,opportunity_weighted,risk_weighted
felten_aei_isco4,2025q4_palgad_isco4,HARJU MAAKOND,317807,0.6558803377521577,0.11133179198309036,0.5445485457690674,208443.3625,35382.022814769996,173061.33968523
felten_aei_isco4,2025q4_palgad_isco4,TARTU MAAKOND,74225,0.6365697797238128,0.12106554496274839,0.5155042347610643,47249.3919,8986.09007486,38263.30182514
felten_aei_isco4,2025q4_palgad_isco4,IDA-VIRU MAAKOND,32520,0.5507064698646986,0.10782033855350553,0.44288613131119314,17908.9744,3506.31740976,14402.65699024
felten_aei_isco4,2025q4_palgad_isco4,PÄRNU MAAKOND,26631,0.5573879576433479,0.10253993817505913,0.4548480194682888,14843.7987,2730.74109354,12113.057606459999
felten_aei_isco4,2025q4_palgad_isco4,LÄÄNE-VIRU MAAKOND,15859,0.5318717951951573,0.10834419437921684,0.42352760081594043,8434.9548,1718.23057866,6716.7242213399995
felten_aei_isco4,2025q4_palgad_isco4,VILJANDI MAAKOND,13206,0.5338124564591852,0.1063552105421778,0.4274572459170074,7049.5273,1404.52691042,5645.00038958
felten_aei_isco4,2025q4_palgad_isco4,VÕRU MAAKOND,8208,0.4916418006822612,0.09646527539108186,0.3951765252911793,4035.3959,791.78698041,3243.60891959
felten_aei_isco4,2025q4_palgad_isco4,SAARE MAAKOND,7245,0.5648466252587991,0.11555720006073154,0.44928942519806764,4092.3138,837.21191444,3255.10188556
felten_aei_isco4,2025q4_palgad_isco4,RAPLA MAAKOND,6795,0.5409054010301693,0.12267497002060339,0.41823043100956586,3675.4522,833.57642129,2841.87577871
felten_aei_isco4,2025q4_palgad_isco4,JÄRVA MAAKOND,6434,0.4922264532172832,0.10613443912029841,0.3860920140969848,3166.985,682.8689813,2484.1160187
felten_aei_isco4,2025q4_palgad_isco4,JÕGEVA MAAKOND,4911,0.4710968845448992,0.10756300088169414,0.36353388366320505,2313.5568,528.2418973299999,1785.31490267
felten_aei_isco4,2025q4_palgad_isco4,VALGA MAAKOND,4794,0.49834065498539837,0.11624756765957446,0.3820930873258239,2389.0451,557.29083936,1831.75426064
felten_aei_isco4,2025q4_palgad_isco4,PÕLVA MAAKOND,4181,0.5117321215020331,0.11353991173164314,0.3981922097703898,2139.552,474.71037094999997,1664.84162905
felten_aei_isco4,2025q4_palgad_isco4,LÄÄNE MAAKOND,3741,0.5057186046511628,0.12177013446137396,0.3839484701897888,1891.8933,455.54207302,1436.3512269799999
felten_aei_isco4,2025q4_palgad_isco4,HIIU MAAKOND,926,0.5189694384449244,0.13214532230021597,0.3868241161447084,480.5657,122.36656845,358.19913155
