model,scenario,location_name,total_employed,exposure_avg,opportunity_avg,risk_avg,exposure_weighted,opportunity_weighted,risk_weighted
ilo_wp140,2021_census,HARJU MAAKOND,312346,0.24716107941877977,0.09601062239820815,0.08845284507832202,77199.77451213819,29988.53386359072,27627.892348833568
ilo_wp140,2021_census,TARTU MAAKOND,77229,0.2235037008312805,0.08617539750106384,0.0687922402372654,17260.96731149896,6655.239773609659,5312.7559212837705
ilo_wp140,2021_census,IDA-VIRU MAAKOND,55459,0.19250738668680117,0.07436238078151812,0.05404718528236634,10676.267158263307,4124.063275762213,2997.402848574755
ilo_wp140,2021_census,PÄRNU MAAKOND,39370,0.2100653440743641,0.08628821068196035,0.061117000501387596,8270.272596207715,3397.166854548779,2406.1763097396297
ilo_wp140,2021_census,LÄÄNE-VIRU MAAKOND,26707,0.19389190443937493,0.07430073847800754,0.05781492717511479,5178.271091862386,1984.3498225321475,1544.0632600657907
ilo_wp140,2021_census,VILJANDI MAAKOND,20644,0.19146481053383502,0.07673557163741401,0.054016281294669094,3952.59954866049,1584.129140882775,1115.1121110471488
ilo_wp140,2021_census,RAPLA MAAKOND,16020,0.19672391148462973,0.0753032646546067,0.06177500456401849,3151.517061983768,1206.3582997667993,989.6355731155762
ilo_wp140,2021_census,VÕRU MAAKOND,15141,0.1825590162164656,0.06761147813786546,0.0523541665798798,2764.126064533506,1023.7053904854208,792.6944361859601
ilo_wp140,2021_census,SAARE MAAKOND,14813,0.20290137160822888,0.08333612459828992,0.05543083884453729,3005.5780176326944,1234.4580136744685,821.0970158041309
ilo_wp140,2021_census,JÄRVA MAAKOND,13455,0.19586947051486367,0.08083460680279735,0.053257744269269165,2635.4237257774907,1087.6296345316382,716.5829491430167
ilo_wp140,2021_census,JÕGEVA MAAKOND,12168,0.17988493754900098,0.0672282243845448,0.04938964174733433,2188.839920096244,818.0330343111411,600.9731607815642
ilo_wp140,2021_census,VALGA MAAKOND,11746,0.19135716278198578,0.07733620241582584,0.05210159990569691,2247.681234037205,908.3910335762903,611.9853924923159
ilo_wp140,2021_census,PÕLVA MAAKOND,10638,0.1794803725333154,0.06621302835672074,0.048896513593542405,1909.3122030094091,704.3741956587953,520.1611116081041
ilo_wp140,2021_census,LÄÄNE MAAKOND,9371,0.21120099793800887,0.08968563298861205,0.0583339464634537,1979.1645516770811,840.4440667362835,546.6474123090246
ilo_wp140,2021_census,HIIU MAAKOND,4185,0.22459328614943205,0.10331218997987328,0.05697188159021883,939.9229025353732,432.36151506576965,238.4273244550658
