model,scenario,location_name,total_employed,exposure_avg,opportunity_avg,risk_avg,exposure_weighted,opportunity_weighted,risk_weighted
ilo_wp140,2025q4_palgad_isco4,HARJU MAAKOND,317807,0.24217178979695222,0.13767643569839558,0.10449535409855668,76963.89,43754.535,33209.355
ilo_wp140,2025q4_palgad_isco4,TARTU MAAKOND,74225,0.2236156281576288,0.14386844055237455,0.07974718760525429,16597.87,10678.635,5919.235
ilo_wp140,2025q4_palgad_isco4,IDA-VIRU MAAKOND,32520,0.18748523985239854,0.12472416974169742,0.0627610701107011,6097.02,4056.03,2040.99
ilo_wp140,2025q4_palgad_isco4,PÄRNU MAAKOND,26631,0.20904171829822388,0.13451672862453531,0.07452498967368856,5566.99,3582.315,1984.675
ilo_wp140,2025q4_palgad_isco4,LÄÄNE-VIRU MAAKOND,15859,0.19823128822750488,0.13659656977110787,0.061634718456397,3143.75,2166.285,977.465
ilo_wp140,2025q4_palgad_isco4,VILJANDI MAAKOND,13206,0.18751249432076328,0.13297705588368924,0.05453543843707405,2476.29,1756.095,720.1949999999999
ilo_wp140,2025q4_palgad_isco4,VÕRU MAAKOND,8208,0.17115740740740742,0.10815058479532165,0.06300682261208576,1404.8600000000001,887.7,517.16
ilo_wp140,2025q4_palgad_isco4,SAARE MAAKOND,7245,0.21351414768806073,0.14778260869565216,0.06573153899240856,1546.91,1070.685,476.225
ilo_wp140,2025q4_palgad_isco4,RAPLA MAAKOND,6795,0.1739793966151582,0.11633774834437086,0.05764164827078735,1182.19,790.515,391.675
ilo_wp140,2025q4_palgad_isco4,JÄRVA MAAKOND,6434,0.19394933167547407,0.14250932545850173,0.05144000621697234,1247.8700000000001,916.9050000000001,330.96500000000003
ilo_wp140,2025q4_palgad_isco4,JÕGEVA MAAKOND,4911,0.16609651802076972,0.133317043372022,0.03277947464874771,815.7,654.72,160.98000000000002
ilo_wp140,2025q4_palgad_isco4,VALGA MAAKOND,4794,0.15158740091781395,0.10177409261576972,0.049813308302044224,726.71,487.90500000000003,238.805
ilo_wp140,2025q4_palgad_isco4,PÕLVA MAAKOND,4181,0.1619851710117197,0.13133700071753168,0.030648170294187996,677.26,549.12,128.14000000000001
ilo_wp140,2025q4_palgad_isco4,LÄÄNE MAAKOND,3741,0.24124832932371024,0.20451884522854852,0.03672948409516172,902.51,765.105,137.405
ilo_wp140,2025q4_palgad_isco4,HIIU MAAKOND,926,0.15858531317494604,0.1270464362850972,0.03153887688984881,146.85000000000002,117.64500000000001,29.205000000000002
