isco4_code,isco4_label,isco2_code,isco2_label,employment_estonia,felten_aei_isco4_exposure,ilo_wp140_exposure,demirev_ai_products_exposure,felten_aei_isco4_z,ilo_wp140_z,demirev_ai_products_z,felten_aei_isco4_quintile,ilo_wp140_quintile,demirev_ai_products_quintile,ensemble_z_mean,ensemble_z_sd,n_models,top_quintile_count,bottom_quintile_count,tier_label_quintile,tier_label_ensemble,tootukassa_balance_national,tootukassa_demand_national,notes
0110,Commissioned armed forces officers,01,Armed forces officers,0,,0.0,0.0976,,-0.6854777735548961,-0.5356417123143259,,2,2,-0.610559742934611,0.07491803062028513,2,0,0,Mixed,Mixed,,,partial_coverage|no_employment_signal
0210,Non-commissioned armed forces officers,02,Armed forces NCOs,0,,0.0,0.1824,,-0.6854777735548961,-0.02087300690079241,,2,3,-0.3531753902278443,0.33230238332705186,2,0,0,Mixed,Mixed,,,partial_coverage|no_employment_signal
0211,Physical and earth science professionals,02,Armed forces NCOs,0,0.9142,,,1.2134782232931451,,,5,,,1.2134782232931451,0.0,1,1,0,Insufficient coverage,Insufficient coverage,,,partial_coverage|no_employment_signal
0310,"Armed forces occupations, other ranks",03,"Armed forces, other",0,,0.0,0.0829,,-0.6854777735548961,-0.6248763817669077,,2,2,-0.6551770776609019,0.0303006958939942,2,0,0,Mixed,Mixed,,,partial_coverage|no_employment_signal
0315,Ship and aircraft controllers and technicians,03,"Armed forces, other",0,0.7306,,,0.5191467258188965,,,4,,,0.5191467258188965,0.0,1,0,0,Insufficient coverage,Insufficient coverage,,,partial_coverage|no_employment_signal
1111,Legislators,11,Chief executives & legislators,114,,0.0,0.2263,,-0.6854777735548961,0.2456169243215439,,2,4,-0.2199304246166761,0.46554734893822003,2,0,0,Mixed,Mixed,,,partial_coverage
1112,Senior government officials,11,Chief executives & legislators,722,0.8694,0.0,0.1627,1.0440552870902782,-0.6854777735548961,-0.14045960473860616,4,2,3,0.0727059695989253,0.7219883764198947,3,0,0,Mixed,Mixed,,,
1113,Traditional chiefs and heads of villages,11,Chief executives & legislators,0,0.9686,0.66,,1.4192060743966264,1.5398503414965126,,5,5,,1.4795282079465695,0.06032213354994309,2,2,0,Robust High,Robust High,,,partial_coverage|no_employment_signal
1114,Senior officials of special-interest organizations,11,Chief executives & legislators,160,0.8594,0.0,0.2193,1.0062376674021387,-0.6854777735548961,0.20312422458221915,4,2,4,0.17462803947648722,0.6909338162792433,3,0,0,Mixed,Mixed,,,
1120,Managing directors and chief executives,11,Chief executives & legislators,1386,0.8622,0.0,0.2017,1.0168266009148175,-0.6854777735548961,0.09628543666620273,4,2,4,0.14254475467537467,0.6957322230148061,3,0,0,Mixed,Mixed,2.0,3.0,
1211,Finance managers,12,Administrative & commercial mgrs,1361,1.0,0.0,0.3795,1.5379534002173856,-0.6854777735548961,1.17560001004505,5,2,5,0.6760252122358464,0.9740269606399256,3,2,0,Contested High,Contested High,3.0,3.0,
1212,Human resource managers,12,Administrative & commercial mgrs,1252,0.9593,0.0,0.1791,1.3840356880866564,-0.6854777735548961,-0.04090527963504546,5,2,3,0.21921754496557164,0.8646654092335576,3,1,0,Contested High,Mixed,3.0,3.0,
1213,Policy and planning managers,12,Administrative & commercial mgrs,696,0.8651,0.0,0.3074,1.0277937106243782,-0.6854777735548961,0.7379252027300057,4,2,5,0.3600803799331626,0.7487321849683621,3,1,0,Contested High,Mixed,,,
1219,Business services and administration managers not elsewhere classified,12,Administrative & commercial mgrs,6349,0.8571,0.0,0.1788,0.9975396148738662,-0.6854777735548961,-0.042726395338159515,4,2,3,0.08977848199360351,0.6934479261035261,3,0,0,Mixed,Mixed,3.0,3.0,
1221,Sales and marketing managers,12,Administrative & commercial mgrs,5137,0.9564,0.0,0.5125,1.3730685783770957,-0.6854777735548961,1.982961305092219,5,2,5,0.8901840366381396,1.1416435198433872,3,2,0,Contested High,Contested High,3.0,3.0,
1222,Advertising and public relations managers,12,Administrative & commercial mgrs,334,0.9574,0.0,0.2478,1.3768503403459098,-0.6854777735548961,0.3761302163780411,5,2,4,0.3558342610563516,0.8420642321890608,3,1,0,Contested High,Mixed,,,
1223,Research and development managers,12,Administrative & commercial mgrs,1629,0.8981,0.0,0.3615,1.15259185559524,-0.6854777735548961,1.066333067858215,5,2,5,0.5111490499661863,0.846875418107875,3,2,0,Contested High,Contested High,3.0,3.0,
1311,Agricultural and forestry production managers,13,Production & specialized services mgrs,824,0.5543,0.0,0.0,-0.14757790928301015,-0.6854777735548961,-1.128111354394053,3,2,1,-0.6537223457439865,0.40093038850646967,3,0,1,Mixed,Mixed,,,
1312,Aquaculture and fisheries production managers,13,Production & specialized services mgrs,37,0.5543,0.0,0.051,-0.14757790928301015,-0.6854777735548961,-0.8185216848646876,3,2,2,-0.5505257892341979,0.2900579436963352,3,0,0,Mixed,Mixed,,,
1321,Manufacturing managers,13,Production & specialized services mgrs,3683,0.7373,0.0,0.2394,0.54448453100995,-0.6854777735548961,0.3251389766908515,4,2,4,0.06138191138196845,0.5356476825849137,3,0,0,Mixed,Mixed,3.0,3.0,
1322,Mining managers,13,Production & specialized services mgrs,89,0.8651,0.66,0.254,1.0277937106243782,1.5398503414965126,0.41376660757572875,4,5,4,0.9938035532322065,0.460349607761972,3,1,0,Contested High,Contested High,,,
1323,Construction managers,13,Production & specialized services mgrs,4917,0.8831,0.33,0.2005,1.09586542606303,0.42718628397080827,0.0890009738537472,4,4,4,0.5373508946291952,0.4183668146191093,3,0,0,Mixed,Contested High,3.0,3.0,
1324,"Supply, distribution and related managers",13,Production & specialized services mgrs,2453,0.8444,0.66,0.2129,0.9495112378699287,1.5398503414965126,0.16427375624912235,4,5,4,0.8845451118718546,0.5634525615143455,3,1,0,Contested High,Contested High,3.0,3.0,
1330,Information and communications technology service managers,13,Production & specialized services mgrs,2240,0.8917,0.0,0.2812,1.1283885789948305,-0.6854777735548961,0.5788810979913904,5,2,4,0.3405973011437749,0.7594349487648033,3,1,0,Contested High,Mixed,3.0,3.0,
1341,Child care services managers,13,Production & specialized services mgrs,358,0.8296,0.0,0.027,0.8935411607314816,-0.6854777735548961,-0.9642109411138008,4,2,1,-0.25204918464573844,0.8180081394218026,3,0,1,Mixed,Mixed,,,
1342,Health services managers,13,Production & specialized services mgrs,868,0.9479,0.0,0.4949,1.3409236016421766,-0.6854777735548961,1.8761225171762028,5,2,5,0.8438561150878278,1.10325460253153,3,2,0,Contested High,Contested High,,,
