priority_rank,vertical_id,vertical_label,county,county_name,people_lower,people_estimate,people_upper,n_hidden,n_isco4_total,n_isco4_with_data,suppression_share,vertical_ensemble_z,vertical_employment_national,tier_label_dominant
1,V04_customer_service,Klienditugi ja kontaktikeskus,harju,Harju maakond,13414.0,13415.779310344828,13471.0,3.0,11,10,0.004231311706629055,1.5581278360305515,18722,Contested High
1,V04_customer_service,Klienditugi ja kontaktikeskus,hiiu,Hiiu maakond,0.0,117.89773245508273,418.0,22.0,11,0,1.0,1.5581278360305515,18722,Contested High
1,V04_customer_service,Klienditugi ja kontaktikeskus,ida_viru,Ida-Viru maakond,698.0,739.0238388048732,907.0,11.0,11,8,0.23042998897464168,1.5581278360305515,18722,Contested High
1,V04_customer_service,Klienditugi ja kontaktikeskus,jarva,Järva maakond,64.0,166.61201816936844,444.0,20.0,11,2,0.8558558558558559,1.5581278360305515,18722,Contested High
1,V04_customer_service,Klienditugi ja kontaktikeskus,jogeva,Jõgeva maakond,21.0,133.11201816936844,420.0,21.0,11,1,0.95,1.5581278360305515,18722,Contested High
1,V04_customer_service,Klienditugi ja kontaktikeskus,laane,Lääne maakond,60.0,166.39773245508272,440.0,20.0,11,2,0.8636363636363636,1.5581278360305515,18722,Contested High
1,V04_customer_service,Klienditugi ja kontaktikeskus,laane_viru,Lääne-Viru maakond,194.0,275.12141666560905,517.0,17.0,11,5,0.6247582205029013,1.5581278360305515,18722,Contested High
1,V04_customer_service,Klienditugi ja kontaktikeskus,parnu,Pärnu maakond,675.0,714.2325555267479,884.0,11.0,11,7,0.23642533936651583,1.5581278360305515,18722,Contested High
1,V04_customer_service,Klienditugi ja kontaktikeskus,polva,Põlva maakond,29.0,141.11201816936844,428.0,21.0,11,1,0.9322429906542056,1.5581278360305515,18722,Contested High
1,V04_customer_service,Klienditugi ja kontaktikeskus,rapla,Rapla maakond,45.0,157.11201816936844,444.0,21.0,11,1,0.8986486486486487,1.5581278360305515,18722,Contested High
1,V04_customer_service,Klienditugi ja kontaktikeskus,saare,Saare maakond,129.0,214.34868939288177,471.0,18.0,11,4,0.7261146496815286,1.5581278360305515,18722,Contested High
1,V04_customer_service,Klienditugi ja kontaktikeskus,tartu,Tartu maakond,1897.0,1907.3124668435014,2011.0,6.0,11,9,0.05668821481849826,1.5581278360305515,18722,Contested High
1,V04_customer_service,Klienditugi ja kontaktikeskus,valga,Valga maakond,20.0,128.39773245508272,419.0,21.0,11,1,0.9522673031026253,1.5581278360305515,18722,Contested High
1,V04_customer_service,Klienditugi ja kontaktikeskus,viljandi,Viljandi maakond,164.0,250.83570237989477,506.0,18.0,11,4,0.6758893280632411,1.5581278360305515,18722,Contested High
1,V04_customer_service,Klienditugi ja kontaktikeskus,voru,Võru maakond,110.0,194.70474999894236,433.0,17.0,11,5,0.745958429561201,1.5581278360305515,18722,Contested High
2,V03_banking_insurance,Pangandus ja kindlustus,harju,Harju maakond,9132.0,9132.0,9132.0,0.0,6,6,0.0,1.2867688566331115,12473,Contested High
2,V03_banking_insurance,Pangandus ja kindlustus,hiiu,Hiiu maakond,0.0,40.96560846560847,228.0,12.0,6,0,1.0,1.2867688566331115,12473,Contested High
2,V03_banking_insurance,Pangandus ja kindlustus,ida_viru,Ida-Viru maakond,195.0,217.96560846560845,385.0,10.0,6,1,0.4935064935064935,1.2867688566331115,12473,Contested High
2,V03_banking_insurance,Pangandus ja kindlustus,jarva,Järva maakond,89.0,111.96560846560847,279.0,10.0,6,1,0.6810035842293907,1.2867688566331115,12473,Contested High
2,V03_banking_insurance,Pangandus ja kindlustus,jogeva,Jõgeva maakond,46.0,68.96560846560847,236.0,10.0,6,1,0.8050847457627118,1.2867688566331115,12473,Contested High
2,V03_banking_insurance,Pangandus ja kindlustus,laane,Lääne maakond,51.0,73.96560846560847,241.0,10.0,6,1,0.7883817427385892,1.2867688566331115,12473,Contested High
2,V03_banking_insurance,Pangandus ja kindlustus,laane_viru,Lääne-Viru maakond,169.0,188.00407000407,340.0,9.0,6,2,0.5029411764705882,1.2867688566331115,12473,Contested High
2,V03_banking_insurance,Pangandus ja kindlustus,parnu,Pärnu maakond,447.0,466.4470899470899,618.0,9.0,6,2,0.2766990291262136,1.2867688566331115,12473,Contested High
