scenario,taxonomy,code,location_code,location_name,code_label,employed,source
2021_census,isco2,11,1,Kogu Eesti,"..Seadusandjad, kõrgemad ametnikud ja tippjuhid",5207,rl21154_census2021
2021_census,isco2,12,1,Kogu Eesti,..Äriteenindus- ja haldusjuhid,20734,rl21154_census2021
2021_census,isco2,13,1,Kogu Eesti,..Põhitegevuse ja valdkondade juhid,23220,rl21154_census2021
2021_census,isco2,14,1,Kogu Eesti,"..Külalismajanduse, kaubandus- jm teenuste juhid",9764,rl21154_census2021
2021_census,isco2,21,1,Kogu Eesti,..Loodus- ja tehnikateaduste tippspetsialistid,18458,rl21154_census2021
2021_census,isco2,22,1,Kogu Eesti,..Tervishoiu tippspetsialistid,19875,rl21154_census2021
2021_census,isco2,23,1,Kogu Eesti,..Pedagoogika tippspetsialistid,34987,rl21154_census2021
2021_census,isco2,24,1,Kogu Eesti,..Äri ja halduse tippspetsialistid,26413,rl21154_census2021
2021_census,isco2,25,1,Kogu Eesti,..IKT tippspetsialistid,18969,rl21154_census2021
2021_census,isco2,26,1,Kogu Eesti,"..Õigus-, sotsiaal- ja kultuurivaldkonna tippspetsialistid",16322,rl21154_census2021
2021_census,isco2,31,1,Kogu Eesti,..Loodus- ja tehnikateaduste keskastme spetsialistid,16535,rl21154_census2021
2021_census,isco2,32,1,Kogu Eesti,..Tervishoiu keskastme spetsialistid,5686,rl21154_census2021
2021_census,isco2,33,1,Kogu Eesti,..Äri ja halduse keskastme spetsialistid,38081,rl21154_census2021
2021_census,isco2,34,1,Kogu Eesti,"..Õigus-, sotsiaal-, kultuuri- jms valdkonna keskastme spetsialistid",12335,rl21154_census2021
2021_census,isco2,35,1,Kogu Eesti,..Infotehnoloogia ja telekommunikatsiooni tehnikud,5937,rl21154_census2021
2021_census,isco2,41,1,Kogu Eesti,..Kontoritöötajad,8333,rl21154_census2021
2021_census,isco2,42,1,Kogu Eesti,..Klienditeenindajad,16600,rl21154_census2021
2021_census,isco2,43,1,Kogu Eesti,..Arvepidamise ja materjaliarvestuse kontoritöötajad,19877,rl21154_census2021
2021_census,isco2,44,1,Kogu Eesti,..Muud kontoritöötajad ja klienditeenindajad,7667,rl21154_census2021
2021_census,isco2,51,1,Kogu Eesti,..Isikuteenindajad,24669,rl21154_census2021
2021_census,isco2,52,1,Kogu Eesti,..Müügitöötajad,45939,rl21154_census2021
2021_census,isco2,53,1,Kogu Eesti,..Isikuhooldustöötajad,16263,rl21154_census2021
2021_census,isco2,54,1,Kogu Eesti,"..Pääste-, politsei- ja turvatöötajad",10206,rl21154_census2021
2021_census,isco2,61,1,Kogu Eesti,..Põllumajanduse oskustöölised,5238,rl21154_census2021
2021_census,isco2,62,1,Kogu Eesti,"..Metsanduse, kalanduse ja jahinduse oskustöölised",1834,rl21154_census2021
