Aasta,Sugu,Elukoht,Amet,Aasta_label,Sugu_label,Elukoht_label,Amet_label,value
2021,1,1,1,2021,Mehed ja naised,Kogu Eesti,Ametid kokku,642391
2021,1,1,2,2021,Mehed ja naised,Kogu Eesti,Juhid,58925
2021,1,1,3,2021,Mehed ja naised,Kogu Eesti,"..Seadusandjad, kõrgemad ametnikud ja tippjuhid",5207
2021,1,1,4,2021,Mehed ja naised,Kogu Eesti,..Äriteenindus- ja haldusjuhid,20734
2021,1,1,5,2021,Mehed ja naised,Kogu Eesti,..Põhitegevuse ja valdkondade juhid,23220
2021,1,1,6,2021,Mehed ja naised,Kogu Eesti,"..Külalismajanduse, kaubandus- jm teenuste juhid",9764
2021,1,1,7,2021,Mehed ja naised,Kogu Eesti,Tippspetsialistid,135024
2021,1,1,8,2021,Mehed ja naised,Kogu Eesti,..Loodus- ja tehnikateaduste tippspetsialistid,18458
2021,1,1,9,2021,Mehed ja naised,Kogu Eesti,..Tervishoiu tippspetsialistid,19875
2021,1,1,10,2021,Mehed ja naised,Kogu Eesti,..Pedagoogika tippspetsialistid,34987
2021,1,1,11,2021,Mehed ja naised,Kogu Eesti,..Äri ja halduse tippspetsialistid,26413
2021,1,1,12,2021,Mehed ja naised,Kogu Eesti,..IKT tippspetsialistid,18969
2021,1,1,13,2021,Mehed ja naised,Kogu Eesti,"..Õigus-, sotsiaal- ja kultuurivaldkonna tippspetsialistid",16322
2021,1,1,14,2021,Mehed ja naised,Kogu Eesti,Tehnikud ja keskastme spetsialistid,78574
2021,1,1,15,2021,Mehed ja naised,Kogu Eesti,..Loodus- ja tehnikateaduste keskastme spetsialistid,16535
2021,1,1,16,2021,Mehed ja naised,Kogu Eesti,..Tervishoiu keskastme spetsialistid,5686
2021,1,1,17,2021,Mehed ja naised,Kogu Eesti,..Äri ja halduse keskastme spetsialistid,38081
2021,1,1,18,2021,Mehed ja naised,Kogu Eesti,"..Õigus-, sotsiaal-, kultuuri- jms valdkonna keskastme spetsialistid",12335
2021,1,1,19,2021,Mehed ja naised,Kogu Eesti,..Infotehnoloogia ja telekommunikatsiooni tehnikud,5937
2021,1,1,20,2021,Mehed ja naised,Kogu Eesti,Kontoritöötajad ja klienditeenindajad,52477
2021,1,1,21,2021,Mehed ja naised,Kogu Eesti,..Kontoritöötajad,8333
2021,1,1,22,2021,Mehed ja naised,Kogu Eesti,..Klienditeenindajad,16600
2021,1,1,23,2021,Mehed ja naised,Kogu Eesti,..Arvepidamise ja materjaliarvestuse kontoritöötajad,19877
2021,1,1,24,2021,Mehed ja naised,Kogu Eesti,..Muud kontoritöötajad ja klienditeenindajad,7667
2021,1,1,25,2021,Mehed ja naised,Kogu Eesti,Teenindus- ja müügitöötajad,97077
2021,1,1,26,2021,Mehed ja naised,Kogu Eesti,..Isikuteenindajad,24669
2021,1,1,27,2021,Mehed ja naised,Kogu Eesti,..Müügitöötajad,45939
2021,1,1,28,2021,Mehed ja naised,Kogu Eesti,..Isikuhooldustöötajad,16263
2021,1,1,29,2021,Mehed ja naised,Kogu Eesti,"..Pääste-, politsei- ja turvatöötajad",10206
2021,1,1,30,2021,Mehed ja naised,Kogu Eesti,"Põllumajanduse, metsanduse, kalanduse ja jahinduse oskustöölised",7085
2021,1,1,31,2021,Mehed ja naised,Kogu Eesti,..Põllumajanduse oskustöölised,5238
2021,1,1,32,2021,Mehed ja naised,Kogu Eesti,"..Metsanduse, kalanduse ja jahinduse oskustöölised",1834
2021,1,1,33,2021,Mehed ja naised,Kogu Eesti,"..Oma tarbeks põllumajanduse, kalapüügi, jahi ning metsasaaduste korjamisega tegelejad",13
2021,1,1,34,2021,Mehed ja naised,Kogu Eesti,Oskus- ja käsitöölised,83479
2021,1,1,35,2021,Mehed ja naised,Kogu Eesti,"..Ehitustöölised, v.a elektrikud",27546
2021,1,1,36,2021,Mehed ja naised,Kogu Eesti,"..Metallitöötluse, masinaehituse jms oskustöölised",23563
2021,1,1,37,2021,Mehed ja naised,Kogu Eesti,"..Käsitöömeistrid, täppisinstrumentide valmistajad ja trükitöölised",3639
2021,1,1,38,2021,Mehed ja naised,Kogu Eesti,..Elektri- ja elektroonikavaldkonna töölised,8295
2021,1,1,39,2021,Mehed ja naised,Kogu Eesti,"..Toiduaine-, puidu- ning rõivatööstuse jms oskus- ja käsitöölised",20436
2021,1,1,40,2021,Mehed ja naised,Kogu Eesti,Seadme- ja masinaoperaatorid ning koostajad,62231
2021,1,1,41,2021,Mehed ja naised,Kogu Eesti,..Seadme- ja masinaoperaatorid,16679
2021,1,1,42,2021,Mehed ja naised,Kogu Eesti,..Koostajad,10093
2021,1,1,43,2021,Mehed ja naised,Kogu Eesti,..Mootorsõidukite ja liikurmasinate juhid,35459
2021,1,1,44,2021,Mehed ja naised,Kogu Eesti,Lihttöölised,64420
2021,1,1,45,2021,Mehed ja naised,Kogu Eesti,..Puhastustöölised ja abilised,21754
2021,1,1,46,2021,Mehed ja naised,Kogu Eesti,"..Põllumajanduse, metsanduse ja kalanduse lihttöölised",3849
2021,1,1,47,2021,Mehed ja naised,Kogu Eesti,"..Mäetööstuse, ehituse, töötleva tööstuse ja veonduse lihttöölised",22523
2021,1,1,48,2021,Mehed ja naised,Kogu Eesti,..Toitlustuse abitöölised,5148
2021,1,1,49,2021,Mehed ja naised,Kogu Eesti,..Tänaval jms kohtades teenuse osutajad,320
2021,1,1,50,2021,Mehed ja naised,Kogu Eesti,..Jäätmekäitluse jm lihttöölised,10826
2021,1,1,51,2021,Mehed ja naised,Kogu Eesti,Sõjaväelased,3099
2021,1,L1,1,2021,Mehed ja naised,..Linnaline asustuspiirkond,Ametid kokku,399267
2021,1,L1,2,2021,Mehed ja naised,..Linnaline asustuspiirkond,Juhid,36578
2021,1,L1,3,2021,Mehed ja naised,..Linnaline asustuspiirkond,"..Seadusandjad, kõrgemad ametnikud ja tippjuhid",3115
2021,1,L1,4,2021,Mehed ja naised,..Linnaline asustuspiirkond,..Äriteenindus- ja haldusjuhid,14008
2021,1,L1,5,2021,Mehed ja naised,..Linnaline asustuspiirkond,..Põhitegevuse ja valdkondade juhid,13337
2021,1,L1,6,2021,Mehed ja naised,..Linnaline asustuspiirkond,"..Külalismajanduse, kaubandus- jm teenuste juhid",6118
2021,1,L1,7,2021,Mehed ja naised,..Linnaline asustuspiirkond,Tippspetsialistid,93168
2021,1,L1,8,2021,Mehed ja naised,..Linnaline asustuspiirkond,..Loodus- ja tehnikateaduste tippspetsialistid,12776
2021,1,L1,9,2021,Mehed ja naised,..Linnaline asustuspiirkond,..Tervishoiu tippspetsialistid,13992
2021,1,L1,10,2021,Mehed ja naised,..Linnaline asustuspiirkond,..Pedagoogika tippspetsialistid,21383
2021,1,L1,11,2021,Mehed ja naised,..Linnaline asustuspiirkond,..Äri ja halduse tippspetsialistid,18706
2021,1,L1,12,2021,Mehed ja naised,..Linnaline asustuspiirkond,..IKT tippspetsialistid,14685
2021,1,L1,13,2021,Mehed ja naised,..Linnaline asustuspiirkond,"..Õigus-, sotsiaal- ja kultuurivaldkonna tippspetsialistid",11626
2021,1,L1,14,2021,Mehed ja naised,..Linnaline asustuspiirkond,Tehnikud ja keskastme spetsialistid,50365
2021,1,L1,15,2021,Mehed ja naised,..Linnaline asustuspiirkond,..Loodus- ja tehnikateaduste keskastme spetsialistid,10014
2021,1,L1,16,2021,Mehed ja naised,..Linnaline asustuspiirkond,..Tervishoiu keskastme spetsialistid,3760
2021,1,L1,17,2021,Mehed ja naised,..Linnaline asustuspiirkond,..Äri ja halduse keskastme spetsialistid,24745
2021,1,L1,18,2021,Mehed ja naised,..Linnaline asustuspiirkond,"..Õigus-, sotsiaal-, kultuuri- jms valdkonna keskastme spetsialistid",7624
2021,1,L1,19,2021,Mehed ja naised,..Linnaline asustuspiirkond,..Infotehnoloogia ja telekommunikatsiooni tehnikud,4222
2021,1,L1,20,2021,Mehed ja naised,..Linnaline asustuspiirkond,Kontoritöötajad ja klienditeenindajad,35623
2021,1,L1,21,2021,Mehed ja naised,..Linnaline asustuspiirkond,..Kontoritöötajad,5566
2021,1,L1,22,2021,Mehed ja naised,..Linnaline asustuspiirkond,..Klienditeenindajad,11981
2021,1,L1,23,2021,Mehed ja naised,..Linnaline asustuspiirkond,..Arvepidamise ja materjaliarvestuse kontoritöötajad,12686
2021,1,L1,24,2021,Mehed ja naised,..Linnaline asustuspiirkond,..Muud kontoritöötajad ja klienditeenindajad,5390
2021,1,L1,25,2021,Mehed ja naised,..Linnaline asustuspiirkond,Teenindus- ja müügitöötajad,59766
2021,1,L1,26,2021,Mehed ja naised,..Linnaline asustuspiirkond,..Isikuteenindajad,15767
2021,1,L1,27,2021,Mehed ja naised,..Linnaline asustuspiirkond,..Müügitöötajad,29008
2021,1,L1,28,2021,Mehed ja naised,..Linnaline asustuspiirkond,..Isikuhooldustöötajad,8881
