isco4,name_et
1111,Seadusandjad
1112,Kõrgemad valitsusametnikud
1114,Ühiskondlike ja huviorganisatsioonide juhid
1120,Suurettevõtete tegevdirektorid ja tippjuhid
1211,Finantsjuhid
1212,Personalijuhid
1213,Poliitika- ja strateegiajuhid
1219,"Äriteenindus- ja haldusjuhid, mujal liigitamata"
1221,Müügi- ja turundusjuhid
1222,Reklaami- ja suhtekorraldusjuhid
1223,Teadus- ja arendusjuhid
1311,Põllumajandus- ja metsandusjuhid
1312,Vesiviljeluse ja kalandusjuhid
1321,Töötleva tööstuse juhid
1322,Mäetööstuse juhid
1323,Ehitusjuhid
1324,"Tarne-, turustus- jms juhid"
1330,IKT-juhid
1341,Lapsehoiuteenuste juhid
1342,Tervishoiuteenuste juhid
1343,Eakate hooldusteenuste juhid
1344,Sotsiaalhoolekande teenuste juhid
1345,Haridus- ja koolitusteenuste juhid
1346,Finantsvahendus- ja kindlustusteenuste juhid
1349,"Kutseteenuste juhid, mujal liigitamata"
1411,"Hotellide, motellide ja hostelite juhid"
1412,Restoranide ja kohvikute juhid
1420,Hulgi- ja jaekaubandusjuhid
1431,"Spordi-, vabaaja- ja kultuurikeskuste juhid"
1439,"Teenuste juhid, mujal liigitamata"
2111,Füüsikud ja astronoomid
2112,Meteoroloogid
2113,Keemikud
2114,Geoloogid ja geofüüsikud
2120,"Matemaatikud, aktuaarid ja statistikud"
2131,"Bioloogid, botaanikud, zooloogid jms tippspetsialistid"
2132,"Põllumajanduse, metsanduse ja kalanduse nõuandjad"
2133,Keskkonnakaitse tippspetsialistid
2141,Tööstus- ja tootmisinsenerid
2142,Ehitusinsenerid
2143,Keskkonnatehnika tippspetsialistid
2144,Mehaanikainsenerid
2145,Keemiainsenerid
2146,"Mäetööstuse, metallurgia jms valdkondade tippspetsialistid"
2149,"Tehnikateaduste tippspetsialistid, mujal liigitamata"
2151,Elektriinsenerid
2152,Elektroonikainsenerid
2153,Telekommunikatsiooniinsenerid
2161,Ehitusarhitektid
2162,Maastikuarhitektid
2163,Toote- ja rõivadisainerid
2164,Linna- ja liiklusplaneerijad
2165,Kartograafid ja maamõõtjad
2166,Kujundajad ja multimeediadisainerid
2211,Üldarstid
2212,Eriarstid
2221,Õenduse tippspetsialistid
2222,Ämmaemandad
2230,Täiendmeditsiini ja loodusravi tippspetsialistid
2240,Erialase kõrgharidusega parameedikud
2250,Veterinaararstid
2261,Hambaarstid
2262,Proviisorid ja farmatseudid
2263,Töötervishoiu ja tööohutuse tippspetsialistid
2264,Füsioterapeudid
2265,Dieedi ja toitumise tippspetsialistid
2266,Audioloogid ja logopeedid
2267,Optomeetria tippspetsialistid
2269,"Tervishoiu tippspetsialistid, mujal liigitamata"
2310,Ülikoolide ja kõrgkoolide õppejõud
2320,Kutseõpetajad
2330,Gümnaasiumiõpetajad
2341,Põhikooli (1.–9. klass) õpetajad
2342,Koolieelse lasteasutuse õpetajad
2351,Õppemetoodika tippspetsialistid
2352,Eripedagoogid
2353,Huvikoolide ja eratundide keeleõpetajad
2354,Huvikoolide ja eratundide muusikaõpetajad
2355,Huvikoolide ja eratundide kunstiõpetajad
2356,Infotehnoloogia erakoolitajad
2359,"Pedagoogika tippspetsialistid, mujal liigitamata"
2411,Raamatupidamise tippspetsialistid
2412,Finants- ja investeerimisnõustajad
2413,Finantsanalüütikud
2421,Juhtimis- ja organisatsioonianalüütikud
2422,Strateegiate väljatöötajad
2423,Personali ja karjääri tippspetsialistid
2424,Töötajate koolituse ja täiendõppe tippspetsialistid
2431,Reklaami ja turunduse tippspetsialistid
2432,Avalike suhete tippspetsialistid
2433,Tehnika- (v.a IKT) ja meditsiinitoodete müügi tippspetsialistid
2434,IKT-lahenduste müügi tippspetsialistid
2511,Süsteemianalüütikud
