isco4,leaf_id,leaf_name_et
1111,11110001,Minister
1111,11110002,Riigikogu liige
1111,11110003,Volikogu esimees
1111,11110004,Volikogu liige
1112,11120001,Suursaadik
1112,11120002,Peadirektor (riigiasutus)
1112,11120003,Kantsler
1112,11120004,Asekantsler
1112,11120005,Riigiarhivaar
1112,11120007,Linnaosa vanem
1112,11120008,Linnapea
1112,11120009,Vallavanem
1112,11120010,Peakonsul
1112,11120011,Kohaliku omavalitsuse ameti juht
1112,11120012,Valla- või linnavalitsuse liige
1112,11120013,Vallasekretär
1112,11120015,Riigikontrolör
1112,11120016,Riigisekretär
1112,11120017,Õiguskantsler
1112,11120018,Kohaliku omavalitsuse osakonnajuhataja
1112,11120019,Kohaliku omavalitsuse teenistusejuhataja
1112,11120020,Kohtu esimees
1112,11120021,Ministeeriumi osakonnajuhataja
1112,11129900,Mujal liigitamata kõrgemad valitsusametnikud
1114,11140001,Ametiühingu esimees
1114,11140002,Tööandjate liidu tegevdirektor
1114,11140003,Erakonna peasekretär
1114,11140005,Keskkonnakaitseorganisatsiooni peasekretär
1114,11140006,Inimõigusteorganisatsiooni peasekretär
1114,11140007,Kutseorganisatsiooni juht
1114,11140008,Usuorganisatsiooni juht
1114,11149900,Mujal liigitamata ühiskondlike ja huviorganisatsioonide juhid
1120,11200001,Suurettevõtte juht
1120,11200002,Suurettevõtte tegevdirektor
1120,11200003,Tervishoiuasutuse tegevdirektor või tippjuht
1120,11200004,Ülikooli rektor
1120,11200005,Suurettevõtte divisjonijuht
1120,11209900,Suurettevõtete mujal liigitamata tippjuhid
1211,12110001,Eelarvedirektor
1211,12110002,Finantsdirektor
1211,12110003,Rahandusosakonna juhataja
1211,12119900,Mujal liigitamata finantsjuhid
1212,12120001,Töösuhete juht
1212,12120002,Personalijuht
1212,12120003,Värbamisjuht
1212,12120004,Tööhõiveagentuuri juht
1212,12120005,Tööjõurendi ettevõtte juht
1212,12129900,Mujal liigitamata personalijuhid 
1213,12130001,Ettevõtte planeerimisjuht
1213,12130002,Strateegiajuht
1213,12130003,Strateegilise planeerimise juht
1213,12139900,Mujal liigitamata poliitika- ja strateegiajuhid 
1219,12190001,Haldusteenistuse juht
1219,12190002,Puhastusteenistuse juht
1219,12190003,Äriteeninduse juht
1219,12190004,Rajatiste haldur
1219,12190005,Haldusdirektor
1219,12190006,Haldusprorektor
1219,12190007,Majandusdirektor
1219,12190008,Üldosakonna juhataja
1219,12190009,Haldus- ja turvaosakonna juhataja
1219,12190010,Puhastusteenistusettevõtte juht
1219,12190011,Puhastusteenistuse osakonnajuht
1219,12199900,Muud mujal liigitamata äriteenindus- ja haldusjuhid
1221,12210001,Turundusosakonna juhataja
1221,12210002,Müügiosakonna juhataja
1221,12219900,Mujal liigitamata müügi- ja turundusjuhid 
1222,12220001,Reklaamijuht
1222,12220002,Suhtekorraldusjuht
1222,12220003,Kommunikatsiooniosakonna juhataja
1222,12229900,Mujal liigitamata reklaami- ja suhtekorraldusjuhid 
1223,12230001,Tootearendusjuht
1223,12230002,Arendusdirektor
1223,12230003,Arendusosakonna juhataja
1223,12230004,Arendusprorektor
1223,12230005,Kompetentsikeskuse juht
1223,12230006,Teadus- ja arendusosakonna juhataja
1223,12230007,Teadusdirektor
1223,12230008,Teadusasutuse juht
1223,12239900,Mujal liigitamata teadus- ja arendusjuhid 
1311,13110001,Metsandusjuht
1311,13110002,Istanduse juht
1311,13110003,Põllumajandusettevõtte juht
1311,13110004,Metsaülem
1311,13119900,Mujal liigitamata põllumajandus- ja metsandusjuhid 
1312,13120001,Tootmisjuht vesiviljeluses
1312,13120002,Kalandustööde juht
1312,13120003,Traaleriteenistuse juht
1312,13129900,Mujal liigitamata vesiviljeluse ja kalandusjuhid 
1321,13210001,Tehase juht
1321,13210002,Tootmisjuht (töötlev tööstus)
1321,13210003,Tootmise ja tööde juht (töötlev tööstus)
1321,13210004,Töötleva tööstuse ettevõtte juht
1321,13210005,Trükindusettevõtte juht
1321,13210006,Trükindusosakonna juhataja
1321,13210007,Laeva ehitus- või remondiettevõtte juht
1321,13210008,Laeva ehitus- või remondiosakonna juhataja
1321,13210009,Vee-ettevõtte juht
1321,13210010,Jäätmekäitlusettevõtte juht
1321,13210013,Energeetikaettevõtte juht
1321,13210015,Vee-ettevõtte osakonnajuhataja
1321,13210017,Jäätmekäitlusettevõtte osakonnajuhataja
1321,13210018,Energeetikaosakonna juhataja
1321,13210019,Rongide remondiettevõtte juht
1321,13210020,Rongide remondiosakonna juhataja
1321,13210021,Masinate ja seadmete paigaldus- ja remondiettevõtte juht
1321,13210022,Masinate ja seadmete paigaldus- ja remondiosakonna juhataja
1321,13219900,Mujal liigitamata töötleva tööstuse juhid 
1322,13220001,Kaevanduse direktor
1322,13220002,Tootmisjuht (kaevandus)
1322,13220003,Tootmisjuht (karjäär)
1322,13220004,Karjääri juhataja
1322,13229900,Mujal liigitamata mäetööstuse juhid
1323,13230001,Ehituse projektijuht
1323,13230002,Ehitusettevõtja
1323,13230003,Ehitusettevõtte juht
1323,13230004,Ehitusosakonna juhataja
1323,13239900,Mujal liigitamata ehitusjuhid
1324,13240002,Logistikajuht
1324,13240003,Raudteejaama juht
1324,13240004,Tarne- ja turustusjuht
1324,13240005,Tarneahela juht
1324,13240006,Transpordiettevõtte juht
1324,13240007,Linnatranspordi süsteemi juht
1324,13240008,Laojuht
1324,13240009,Tolliteenuse juht
