isco4,name_et,county,county_name,gender,count,source_url
1111,Seadusandjad,all,Kogu Eesti,M,82,https://palgad.stat.ee/api/charts/workers_total_section/1111/2025/Q4/average/all/all/all
1111,Seadusandjad,all,Kogu Eesti,F,32,https://palgad.stat.ee/api/charts/workers_total_section/1111/2025/Q4/average/all/all/all
1112,Kõrgemad valitsusametnikud,all,Kogu Eesti,M,325,https://palgad.stat.ee/api/charts/workers_total_section/1112/2025/Q4/average/all/all/all
1112,Kõrgemad valitsusametnikud,all,Kogu Eesti,F,397,https://palgad.stat.ee/api/charts/workers_total_section/1112/2025/Q4/average/all/all/all
1114,Ühiskondlike ja huviorganisatsioonide juhid,all,Kogu Eesti,M,65,https://palgad.stat.ee/api/charts/workers_total_section/1114/2025/Q4/average/all/all/all
1114,Ühiskondlike ja huviorganisatsioonide juhid,all,Kogu Eesti,F,95,https://palgad.stat.ee/api/charts/workers_total_section/1114/2025/Q4/average/all/all/all
1120,Suurettevõtete tegevdirektorid ja tippjuhid,all,Kogu Eesti,M,1077,https://palgad.stat.ee/api/charts/workers_total_section/1120/2025/Q4/average/all/all/all
1120,Suurettevõtete tegevdirektorid ja tippjuhid,all,Kogu Eesti,F,309,https://palgad.stat.ee/api/charts/workers_total_section/1120/2025/Q4/average/all/all/all
1211,Finantsjuhid,all,Kogu Eesti,M,599,https://palgad.stat.ee/api/charts/workers_total_section/1211/2025/Q4/average/all/all/all
1211,Finantsjuhid,all,Kogu Eesti,F,762,https://palgad.stat.ee/api/charts/workers_total_section/1211/2025/Q4/average/all/all/all
1212,Personalijuhid,all,Kogu Eesti,M,178,https://palgad.stat.ee/api/charts/workers_total_section/1212/2025/Q4/average/all/all/all
1212,Personalijuhid,all,Kogu Eesti,F,1074,https://palgad.stat.ee/api/charts/workers_total_section/1212/2025/Q4/average/all/all/all
1213,Poliitika- ja strateegiajuhid,all,Kogu Eesti,M,415,https://palgad.stat.ee/api/charts/workers_total_section/1213/2025/Q4/average/all/all/all
1213,Poliitika- ja strateegiajuhid,all,Kogu Eesti,F,281,https://palgad.stat.ee/api/charts/workers_total_section/1213/2025/Q4/average/all/all/all
1219,"Äriteenindus- ja haldusjuhid, mujal liigitamata",all,Kogu Eesti,M,4263,https://palgad.stat.ee/api/charts/workers_total_section/1219/2025/Q4/average/all/all/all
1219,"Äriteenindus- ja haldusjuhid, mujal liigitamata",all,Kogu Eesti,F,2086,https://palgad.stat.ee/api/charts/workers_total_section/1219/2025/Q4/average/all/all/all
1221,Müügi- ja turundusjuhid,all,Kogu Eesti,M,3078,https://palgad.stat.ee/api/charts/workers_total_section/1221/2025/Q4/average/all/all/all
1221,Müügi- ja turundusjuhid,all,Kogu Eesti,F,2059,https://palgad.stat.ee/api/charts/workers_total_section/1221/2025/Q4/average/all/all/all
1222,Reklaami- ja suhtekorraldusjuhid,all,Kogu Eesti,M,122,https://palgad.stat.ee/api/charts/workers_total_section/1222/2025/Q4/average/all/all/all
1222,Reklaami- ja suhtekorraldusjuhid,all,Kogu Eesti,F,212,https://palgad.stat.ee/api/charts/workers_total_section/1222/2025/Q4/average/all/all/all
1223,Teadus- ja arendusjuhid,all,Kogu Eesti,M,1041,https://palgad.stat.ee/api/charts/workers_total_section/1223/2025/Q4/average/all/all/all
1223,Teadus- ja arendusjuhid,all,Kogu Eesti,F,588,https://palgad.stat.ee/api/charts/workers_total_section/1223/2025/Q4/average/all/all/all
1311,Põllumajandus- ja metsandusjuhid,all,Kogu Eesti,M,674,https://palgad.stat.ee/api/charts/workers_total_section/1311/2025/Q4/average/all/all/all
1311,Põllumajandus- ja metsandusjuhid,all,Kogu Eesti,F,150,https://palgad.stat.ee/api/charts/workers_total_section/1311/2025/Q4/average/all/all/all
1312,Vesiviljeluse ja kalandusjuhid,all,Kogu Eesti,M,37,https://palgad.stat.ee/api/charts/workers_total_section/1312/2025/Q4/average/all/all/all
1321,Töötleva tööstuse juhid,all,Kogu Eesti,M,3135,https://palgad.stat.ee/api/charts/workers_total_section/1321/2025/Q4/average/all/all/all
1321,Töötleva tööstuse juhid,all,Kogu Eesti,F,548,https://palgad.stat.ee/api/charts/workers_total_section/1321/2025/Q4/average/all/all/all
1322,Mäetööstuse juhid,all,Kogu Eesti,M,89,https://palgad.stat.ee/api/charts/workers_total_section/1322/2025/Q4/average/all/all/all
1323,Ehitusjuhid,all,Kogu Eesti,M,4618,https://palgad.stat.ee/api/charts/workers_total_section/1323/2025/Q4/average/all/all/all
1323,Ehitusjuhid,all,Kogu Eesti,F,299,https://palgad.stat.ee/api/charts/workers_total_section/1323/2025/Q4/average/all/all/all
1324,"Tarne-, turustus- jms juhid",all,Kogu Eesti,M,1785,https://palgad.stat.ee/api/charts/workers_total_section/1324/2025/Q4/average/all/all/all
1324,"Tarne-, turustus- jms juhid",all,Kogu Eesti,F,668,https://palgad.stat.ee/api/charts/workers_total_section/1324/2025/Q4/average/all/all/all
1330,IKT-juhid,all,Kogu Eesti,M,1800,https://palgad.stat.ee/api/charts/workers_total_section/1330/2025/Q4/average/all/all/all
1330,IKT-juhid,all,Kogu Eesti,F,440,https://palgad.stat.ee/api/charts/workers_total_section/1330/2025/Q4/average/all/all/all
1341,Lapsehoiuteenuste juhid,all,Kogu Eesti,F,358,https://palgad.stat.ee/api/charts/workers_total_section/1341/2025/Q4/average/all/all/all
1342,Tervishoiuteenuste juhid,all,Kogu Eesti,M,165,https://palgad.stat.ee/api/charts/workers_total_section/1342/2025/Q4/average/all/all/all
1342,Tervishoiuteenuste juhid,all,Kogu Eesti,F,703,https://palgad.stat.ee/api/charts/workers_total_section/1342/2025/Q4/average/all/all/all
1343,Eakate hooldusteenuste juhid,all,Kogu Eesti,F,124,https://palgad.stat.ee/api/charts/workers_total_section/1343/2025/Q4/average/all/all/all
1344,Sotsiaalhoolekande teenuste juhid,all,Kogu Eesti,M,27,https://palgad.stat.ee/api/charts/workers_total_section/1344/2025/Q4/average/all/all/all
1344,Sotsiaalhoolekande teenuste juhid,all,Kogu Eesti,F,186,https://palgad.stat.ee/api/charts/workers_total_section/1344/2025/Q4/average/all/all/all
