period_id,rating_type,isco4,occupation_et,location_name,indicator
396,LABOUR_BALANCE,1120,Ettevõtete tegevdirektorid ja –juhatajad,Kogu Eesti,2
396,LABOUR_BALANCE,1120,Ettevõtete tegevdirektorid ja –juhatajad,Harju maakond,2
396,LABOUR_BALANCE,1120,Ettevõtete tegevdirektorid ja –juhatajad,Hiiu maakond,3
396,LABOUR_BALANCE,1120,Ettevõtete tegevdirektorid ja –juhatajad,Ida-Viru maakond,3
396,LABOUR_BALANCE,1120,Ettevõtete tegevdirektorid ja –juhatajad,Jõgeva maakond,3
396,LABOUR_BALANCE,1120,Ettevõtete tegevdirektorid ja –juhatajad,Järva maakond,3
396,LABOUR_BALANCE,1120,Ettevõtete tegevdirektorid ja –juhatajad,Lääne maakond,3
396,LABOUR_BALANCE,1120,Ettevõtete tegevdirektorid ja –juhatajad,Lääne-Viru maakond,3
396,LABOUR_BALANCE,1120,Ettevõtete tegevdirektorid ja –juhatajad,Põlva maakond,3
396,LABOUR_BALANCE,1120,Ettevõtete tegevdirektorid ja –juhatajad,Pärnu maakond,2
396,LABOUR_BALANCE,1120,Ettevõtete tegevdirektorid ja –juhatajad,Rapla maakond,2
396,LABOUR_BALANCE,1120,Ettevõtete tegevdirektorid ja –juhatajad,Saare maakond,3
396,LABOUR_BALANCE,1120,Ettevõtete tegevdirektorid ja –juhatajad,Tartu maakond,3
396,LABOUR_BALANCE,1120,Ettevõtete tegevdirektorid ja –juhatajad,Valga maakond,3
396,LABOUR_BALANCE,1120,Ettevõtete tegevdirektorid ja –juhatajad,Viljandi maakond,3
396,LABOUR_BALANCE,1120,Ettevõtete tegevdirektorid ja –juhatajad,Võru maakond,3
396,LABOUR_BALANCE,1211,Juhid finantsalal,Kogu Eesti,3
396,LABOUR_BALANCE,1211,Juhid finantsalal,Harju maakond,3
396,LABOUR_BALANCE,1211,Juhid finantsalal,Hiiu maakond,3
396,LABOUR_BALANCE,1211,Juhid finantsalal,Ida-Viru maakond,3
396,LABOUR_BALANCE,1211,Juhid finantsalal,Järva maakond,3
396,LABOUR_BALANCE,1211,Juhid finantsalal,Lääne maakond,3
396,LABOUR_BALANCE,1211,Juhid finantsalal,Lääne-Viru maakond,3
396,LABOUR_BALANCE,1211,Juhid finantsalal,Põlva maakond,3
396,LABOUR_BALANCE,1211,Juhid finantsalal,Pärnu maakond,3
396,LABOUR_BALANCE,1211,Juhid finantsalal,Rapla maakond,3
396,LABOUR_BALANCE,1211,Juhid finantsalal,Saare maakond,3
396,LABOUR_BALANCE,1211,Juhid finantsalal,Tartu maakond,3
396,LABOUR_BALANCE,1211,Juhid finantsalal,Valga maakond,3
396,LABOUR_BALANCE,1211,Juhid finantsalal,Viljandi maakond,3
396,LABOUR_BALANCE,1211,Juhid finantsalal,Võru maakond,3
396,LABOUR_BALANCE,1212,Juhid tööhõive alal,Kogu Eesti,3
396,LABOUR_BALANCE,1212,Juhid tööhõive alal,Harju maakond,3
396,LABOUR_BALANCE,1212,Juhid tööhõive alal,Saare maakond,3
396,LABOUR_BALANCE,1212,Juhid tööhõive alal,Tartu maakond,3
396,LABOUR_BALANCE,1219,Mujal liigitamata äriteeninduse ja haldusala juhid,Kogu Eesti,3
396,LABOUR_BALANCE,1219,Mujal liigitamata äriteeninduse ja haldusala juhid,Harju maakond,3
396,LABOUR_BALANCE,1219,Mujal liigitamata äriteeninduse ja haldusala juhid,Hiiu maakond,3
396,LABOUR_BALANCE,1219,Mujal liigitamata äriteeninduse ja haldusala juhid,Ida-Viru maakond,3
396,LABOUR_BALANCE,1219,Mujal liigitamata äriteeninduse ja haldusala juhid,Jõgeva maakond,3
396,LABOUR_BALANCE,1219,Mujal liigitamata äriteeninduse ja haldusala juhid,Järva maakond,3
396,LABOUR_BALANCE,1219,Mujal liigitamata äriteeninduse ja haldusala juhid,Lääne maakond,3
396,LABOUR_BALANCE,1219,Mujal liigitamata äriteeninduse ja haldusala juhid,Lääne-Viru maakond,3
396,LABOUR_BALANCE,1219,Mujal liigitamata äriteeninduse ja haldusala juhid,Põlva maakond,3
396,LABOUR_BALANCE,1219,Mujal liigitamata äriteeninduse ja haldusala juhid,Pärnu maakond,2
396,LABOUR_BALANCE,1219,Mujal liigitamata äriteeninduse ja haldusala juhid,Rapla maakond,3
396,LABOUR_BALANCE,1219,Mujal liigitamata äriteeninduse ja haldusala juhid,Saare maakond,3
396,LABOUR_BALANCE,1219,Mujal liigitamata äriteeninduse ja haldusala juhid,Tartu maakond,3
396,LABOUR_BALANCE,1219,Mujal liigitamata äriteeninduse ja haldusala juhid,Valga maakond,3
396,LABOUR_BALANCE,1219,Mujal liigitamata äriteeninduse ja haldusala juhid,Viljandi maakond,3
396,LABOUR_BALANCE,1219,Mujal liigitamata äriteeninduse ja haldusala juhid,Võru maakond,3
396,LABOUR_BALANCE,1221,Juhid müügi- ja turundusalal,Kogu Eesti,3
396,LABOUR_BALANCE,1221,Juhid müügi- ja turundusalal,Harju maakond,3
396,LABOUR_BALANCE,1221,Juhid müügi- ja turundusalal,Hiiu maakond,3
396,LABOUR_BALANCE,1221,Juhid müügi- ja turundusalal,Ida-Viru maakond,3
396,LABOUR_BALANCE,1221,Juhid müügi- ja turundusalal,Lääne maakond,3
396,LABOUR_BALANCE,1221,Juhid müügi- ja turundusalal,Pärnu maakond,2
396,LABOUR_BALANCE,1221,Juhid müügi- ja turundusalal,Saare maakond,3
396,LABOUR_BALANCE,1221,Juhid müügi- ja turundusalal,Tartu maakond,3
396,LABOUR_BALANCE,1221,Juhid müügi- ja turundusalal,Valga maakond,3
396,LABOUR_BALANCE,1221,Juhid müügi- ja turundusalal,Viljandi maakond,3
396,LABOUR_BALANCE,1221,Juhid müügi- ja turundusalal,Võru maakond,3
396,LABOUR_BALANCE,1223,Juhid teadus- ja arendusalal,Kogu Eesti,3
396,LABOUR_BALANCE,1223,Juhid teadus- ja arendusalal,Harju maakond,3
396,LABOUR_BALANCE,1223,Juhid teadus- ja arendusalal,Lääne maakond,3
396,LABOUR_BALANCE,1223,Juhid teadus- ja arendusalal,Saare maakond,3
396,LABOUR_BALANCE,1223,Juhid teadus- ja arendusalal,Tartu maakond,3
396,LABOUR_BALANCE,1223,Juhid teadus- ja arendusalal,Viljandi maakond,3
396,LABOUR_BALANCE,1311,Juhid põllumajanduses ja metsanduses,Põlva maakond,3
396,LABOUR_BALANCE,1311,Juhid põllumajanduses ja metsanduses,Rapla maakond,3
396,LABOUR_BALANCE,1311,Juhid põllumajanduses ja metsanduses,Saare maakond,3
396,LABOUR_BALANCE,1321,Juhid tööstuses,Kogu Eesti,3
396,LABOUR_BALANCE,1321,Juhid tööstuses,Harju maakond,3
396,LABOUR_BALANCE,1321,Juhid tööstuses,Hiiu maakond,3
396,LABOUR_BALANCE,1321,Juhid tööstuses,Ida-Viru maakond,4
396,LABOUR_BALANCE,1321,Juhid tööstuses,Jõgeva maakond,3
396,LABOUR_BALANCE,1321,Juhid tööstuses,Järva maakond,3
396,LABOUR_BALANCE,1321,Juhid tööstuses,Lääne maakond,3
396,LABOUR_BALANCE,1321,Juhid tööstuses,Lääne-Viru maakond,3
396,LABOUR_BALANCE,1321,Juhid tööstuses,Põlva maakond,3
396,LABOUR_BALANCE,1321,Juhid tööstuses,Pärnu maakond,2
396,LABOUR_BALANCE,1321,Juhid tööstuses,Rapla maakond,3
396,LABOUR_BALANCE,1321,Juhid tööstuses,Saare maakond,3
396,LABOUR_BALANCE,1321,Juhid tööstuses,Tartu maakond,3
396,LABOUR_BALANCE,1321,Juhid tööstuses,Valga maakond,4
396,LABOUR_BALANCE,1321,Juhid tööstuses,Viljandi maakond,3
396,LABOUR_BALANCE,1321,Juhid tööstuses,Võru maakond,3
396,LABOUR_BALANCE,1323,Juhid ehituses,Kogu Eesti,3
396,LABOUR_BALANCE,1323,Juhid ehituses,Harju maakond,3
396,LABOUR_BALANCE,1323,Juhid ehituses,Hiiu maakond,3
396,LABOUR_BALANCE,1323,Juhid ehituses,Ida-Viru maakond,3
396,LABOUR_BALANCE,1323,Juhid ehituses,Jõgeva maakond,3
396,LABOUR_BALANCE,1323,Juhid ehituses,Järva maakond,3
396,LABOUR_BALANCE,1323,Juhid ehituses,Lääne maakond,3
396,LABOUR_BALANCE,1323,Juhid ehituses,Lääne-Viru maakond,3
396,LABOUR_BALANCE,1323,Juhid ehituses,Pärnu maakond,3
396,LABOUR_BALANCE,1323,Juhid ehituses,Rapla maakond,3
396,LABOUR_BALANCE,1323,Juhid ehituses,Saare maakond,3
396,LABOUR_BALANCE,1323,Juhid ehituses,Tartu maakond,3
396,LABOUR_BALANCE,1323,Juhid ehituses,Valga maakond,3
396,LABOUR_BALANCE,1323,Juhid ehituses,Viljandi maakond,3
396,LABOUR_BALANCE,1323,Juhid ehituses,Võru maakond,3
396,LABOUR_BALANCE,1324,"Juhid tarne, transpordi, laonduse ja turustamise alal",Kogu Eesti,3
396,LABOUR_BALANCE,1324,"Juhid tarne, transpordi, laonduse ja turustamise alal",Harju maakond,3
396,LABOUR_BALANCE,1324,"Juhid tarne, transpordi, laonduse ja turustamise alal",Hiiu maakond,3
396,LABOUR_BALANCE,1324,"Juhid tarne, transpordi, laonduse ja turustamise alal",Ida-Viru maakond,3
396,LABOUR_BALANCE,1324,"Juhid tarne, transpordi, laonduse ja turustamise alal",Jõgeva maakond,3
396,LABOUR_BALANCE,1324,"Juhid tarne, transpordi, laonduse ja turustamise alal",Järva maakond,3
396,LABOUR_BALANCE,1324,"Juhid tarne, transpordi, laonduse ja turustamise alal",Lääne maakond,3
396,LABOUR_BALANCE,1324,"Juhid tarne, transpordi, laonduse ja turustamise alal",Lääne-Viru maakond,3
396,LABOUR_BALANCE,1324,"Juhid tarne, transpordi, laonduse ja turustamise alal",Põlva maakond,3
396,LABOUR_BALANCE,1324,"Juhid tarne, transpordi, laonduse ja turustamise alal",Pärnu maakond,3
396,LABOUR_BALANCE,1324,"Juhid tarne, transpordi, laonduse ja turustamise alal",Rapla maakond,3
396,LABOUR_BALANCE,1324,"Juhid tarne, transpordi, laonduse ja turustamise alal",Saare maakond,3
396,LABOUR_BALANCE,1324,"Juhid tarne, transpordi, laonduse ja turustamise alal",Tartu maakond,3
396,LABOUR_BALANCE,1324,"Juhid tarne, transpordi, laonduse ja turustamise alal",Valga maakond,3
396,LABOUR_BALANCE,1324,"Juhid tarne, transpordi, laonduse ja turustamise alal",Viljandi maakond,3
396,LABOUR_BALANCE,1324,"Juhid tarne, transpordi, laonduse ja turustamise alal",Võru maakond,3
396,LABOUR_BALANCE,1330,Juhid info- ja kommunikatsioonitehnoloogias,Kogu Eesti,3
396,LABOUR_BALANCE,1330,Juhid info- ja kommunikatsioonitehnoloogias,Harju maakond,3
396,LABOUR_BALANCE,1330,Juhid info- ja kommunikatsioonitehnoloogias,Hiiu maakond,3
396,LABOUR_BALANCE,1330,Juhid info- ja kommunikatsioonitehnoloogias,Ida-Viru maakond,3
396,LABOUR_BALANCE,1330,Juhid info- ja kommunikatsioonitehnoloogias,Põlva maakond,3
396,LABOUR_BALANCE,1330,Juhid info- ja kommunikatsioonitehnoloogias,Pärnu maakond,2
396,LABOUR_BALANCE,1330,Juhid info- ja kommunikatsioonitehnoloogias,Rapla maakond,3
396,LABOUR_BALANCE,1330,Juhid info- ja kommunikatsioonitehnoloogias,Saare maakond,3
396,LABOUR_BALANCE,1330,Juhid info- ja kommunikatsioonitehnoloogias,Tartu maakond,3
396,LABOUR_BALANCE,1330,Juhid info- ja kommunikatsioonitehnoloogias,Valga maakond,3
396,LABOUR_BALANCE,1330,Juhid info- ja kommunikatsioonitehnoloogias,Võru maakond,3
396,LABOUR_BALANCE,1344,Juhid sotsiaalhoolekande alal,Valga maakond,3
396,LABOUR_BALANCE,1345,Juhid haridus- ja koolitusalal,Kogu Eesti,3
396,LABOUR_BALANCE,1345,Juhid haridus- ja koolitusalal,Harju maakond,3
396,LABOUR_BALANCE,1345,Juhid haridus- ja koolitusalal,Hiiu maakond,3
396,LABOUR_BALANCE,1345,Juhid haridus- ja koolitusalal,Ida-Viru maakond,4
396,LABOUR_BALANCE,1345,Juhid haridus- ja koolitusalal,Jõgeva maakond,3
396,LABOUR_BALANCE,1345,Juhid haridus- ja koolitusalal,Järva maakond,3
396,LABOUR_BALANCE,1345,Juhid haridus- ja koolitusalal,Lääne maakond,3
396,LABOUR_BALANCE,1345,Juhid haridus- ja koolitusalal,Lääne-Viru maakond,3
396,LABOUR_BALANCE,1345,Juhid haridus- ja koolitusalal,Põlva maakond,3
396,LABOUR_BALANCE,1345,Juhid haridus- ja koolitusalal,Pärnu maakond,3
396,LABOUR_BALANCE,1345,Juhid haridus- ja koolitusalal,Rapla maakond,3
396,LABOUR_BALANCE,1345,Juhid haridus- ja koolitusalal,Saare maakond,3
396,LABOUR_BALANCE,1345,Juhid haridus- ja koolitusalal,Tartu maakond,3
396,LABOUR_BALANCE,1345,Juhid haridus- ja koolitusalal,Valga maakond,4
396,LABOUR_BALANCE,1345,Juhid haridus- ja koolitusalal,Viljandi maakond,3
396,LABOUR_BALANCE,1345,Juhid haridus- ja koolitusalal,Võru maakond,3
396,LABOUR_BALANCE,1346,Juhid finantsvahendus- ja kindlustusteenuste alal,Kogu Eesti,3
396,LABOUR_BALANCE,1346,Juhid finantsvahendus- ja kindlustusteenuste alal,Harju maakond,3
396,LABOUR_BALANCE,1346,Juhid finantsvahendus- ja kindlustusteenuste alal,Tartu maakond,3
396,LABOUR_BALANCE,1349,Juhid mujal liigitamata erialateenuseid osutavates asutustes,Kogu Eesti,3
396,LABOUR_BALANCE,1349,Juhid mujal liigitamata erialateenuseid osutavates asutustes,Harju maakond,3
396,LABOUR_BALANCE,1349,Juhid mujal liigitamata erialateenuseid osutavates asutustes,Hiiu maakond,3
396,LABOUR_BALANCE,1349,Juhid mujal liigitamata erialateenuseid osutavates asutustes,Jõgeva maakond,3
396,LABOUR_BALANCE,1349,Juhid mujal liigitamata erialateenuseid osutavates asutustes,Järva maakond,3
396,LABOUR_BALANCE,1349,Juhid mujal liigitamata erialateenuseid osutavates asutustes,Lääne maakond,3
396,LABOUR_BALANCE,1349,Juhid mujal liigitamata erialateenuseid osutavates asutustes,Lääne-Viru maakond,3
396,LABOUR_BALANCE,1349,Juhid mujal liigitamata erialateenuseid osutavates asutustes,Põlva maakond,3
396,LABOUR_BALANCE,1349,Juhid mujal liigitamata erialateenuseid osutavates asutustes,Rapla maakond,3
396,LABOUR_BALANCE,1349,Juhid mujal liigitamata erialateenuseid osutavates asutustes,Saare maakond,3
396,LABOUR_BALANCE,1349,Juhid mujal liigitamata erialateenuseid osutavates asutustes,Tartu maakond,3
396,LABOUR_BALANCE,1349,Juhid mujal liigitamata erialateenuseid osutavates asutustes,Valga maakond,3
396,LABOUR_BALANCE,1349,Juhid mujal liigitamata erialateenuseid osutavates asutustes,Viljandi maakond,3
396,LABOUR_BALANCE,1349,Juhid mujal liigitamata erialateenuseid osutavates asutustes,Võru maakond,3
396,LABOUR_BALANCE,1412,Juhid toitlustuses,Kogu Eesti,3
396,LABOUR_BALANCE,1412,Juhid toitlustuses,Harju maakond,3
396,LABOUR_BALANCE,1412,Juhid toitlustuses,Hiiu maakond,3
396,LABOUR_BALANCE,1412,Juhid toitlustuses,Ida-Viru maakond,3
396,LABOUR_BALANCE,1412,Juhid toitlustuses,Jõgeva maakond,3
396,LABOUR_BALANCE,1412,Juhid toitlustuses,Järva maakond,3
396,LABOUR_BALANCE,1412,Juhid toitlustuses,Lääne maakond,3
396,LABOUR_BALANCE,1412,Juhid toitlustuses,Lääne-Viru maakond,3
396,LABOUR_BALANCE,1412,Juhid toitlustuses,Põlva maakond,4
396,LABOUR_BALANCE,1412,Juhid toitlustuses,Pärnu maakond,2
396,LABOUR_BALANCE,1412,Juhid toitlustuses,Rapla maakond,3
